train_seed,jammer_mode,checkpoint_path,checkpoint_sha256,run_config_sha256,models_source_path,models_source_sha256,projection_weight_key,projection_weight_shape,branch_order,branch_width,connections_per_branch,linear_mean_absolute_outgoing_weight,squared_mean_absolute_outgoing_weight,squared_minus_linear_mean_absolute_weight,squared_to_linear_mean_absolute_ratio,linear_frobenius_norm,squared_frobenius_norm,interpretation_scope
1,sweeping,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed1.pt,a777bb07c4605a558268cd4191f3459beec87934e57ce0a76b81938c9decaa08,07cdbc94914a2d67eb2df705f3cda775cea26322a1de9b253050a5a1acadfe5f,03_实验代码\experiment_v2\src\models.py,3f8322a50594125add3f4a997af2c5f5a8ae565f0016de5b3cc07e1d2a587986,projection.0.weight,128x128,"columns 0:64 = LayerNorm([h,h^2]) positions for h; columns 64:128 = positions for h^2",64,8192,0.023230294403692564,0.03124568988619328,0.008015395482500715,1.3450406328568367,3.5002719806097073,4.483787861108071,"Descriptive raw-weight magnitude only. It is scale- and reparameterization-dependent, is coupled to learned LayerNorm and upstream activation scales, ignores activation frequency and sign cancellation, and is not causal feature importance, branch contribution, robustness, or interpretability evidence."
2,sweeping,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed2.pt,ea94e9b0ffb471f839c831ac6a50b6b7819be92eb789b851818162dca1af7adf,07cdbc94914a2d67eb2df705f3cda775cea26322a1de9b253050a5a1acadfe5f,03_实验代码\experiment_v2\src\models.py,3f8322a50594125add3f4a997af2c5f5a8ae565f0016de5b3cc07e1d2a587986,projection.0.weight,128x128,"columns 0:64 = LayerNorm([h,h^2]) positions for h; columns 64:128 = positions for h^2",64,8192,0.021825636628729567,0.03136536175332976,0.009539725124600194,1.4370880578137566,3.370945377728391,4.616768678733202,"Descriptive raw-weight magnitude only. It is scale- and reparameterization-dependent, is coupled to learned LayerNorm and upstream activation scales, ignores activation frequency and sign cancellation, and is not causal feature importance, branch contribution, robustness, or interpretability evidence."
3,sweeping,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed3.pt,c126937bdb2952a9da9630cdab84e5b264ea24c82c4a751a5c0c95c58e912555,07cdbc94914a2d67eb2df705f3cda775cea26322a1de9b253050a5a1acadfe5f,03_实验代码\experiment_v2\src\models.py,3f8322a50594125add3f4a997af2c5f5a8ae565f0016de5b3cc07e1d2a587986,projection.0.weight,128x128,"columns 0:64 = LayerNorm([h,h^2]) positions for h; columns 64:128 = positions for h^2",64,8192,0.021699940952778832,0.030185948017006164,0.008486007064227332,1.3910612974797352,3.3657116483169585,4.508040649904657,"Descriptive raw-weight magnitude only. It is scale- and reparameterization-dependent, is coupled to learned LayerNorm and upstream activation scales, ignores activation frequency and sign cancellation, and is not causal feature importance, branch contribution, robustness, or interpretability evidence."
4,sweeping,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed4.pt,e1717da2e9c59518e8f2b762331d87900cbf856674cba0b2e11c034931f9d6d7,07cdbc94914a2d67eb2df705f3cda775cea26322a1de9b253050a5a1acadfe5f,03_实验代码\experiment_v2\src\models.py,3f8322a50594125add3f4a997af2c5f5a8ae565f0016de5b3cc07e1d2a587986,projection.0.weight,128x128,"columns 0:64 = LayerNorm([h,h^2]) positions for h; columns 64:128 = positions for h^2",64,8192,0.02117504989554852,0.027762220279802564,0.006587170384254045,1.3110816936322223,3.320240805813228,4.320449175256831,"Descriptive raw-weight magnitude only. It is scale- and reparameterization-dependent, is coupled to learned LayerNorm and upstream activation scales, ignores activation frequency and sign cancellation, and is not causal feature importance, branch contribution, robustness, or interpretability evidence."
5,sweeping,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed5.pt,ca9cd202c645122ec72b094d759347206d2f8fad6301a233b694ecd39dc5001d,07cdbc94914a2d67eb2df705f3cda775cea26322a1de9b253050a5a1acadfe5f,03_实验代码\experiment_v2\src\models.py,3f8322a50594125add3f4a997af2c5f5a8ae565f0016de5b3cc07e1d2a587986,projection.0.weight,128x128,"columns 0:64 = LayerNorm([h,h^2]) positions for h; columns 64:128 = positions for h^2",64,8192,0.021213861848942518,0.03146482465985153,0.010250962810909012,1.4832200230162247,3.2874881913907696,4.581914318605934,"Descriptive raw-weight magnitude only. It is scale- and reparameterization-dependent, is coupled to learned LayerNorm and upstream activation scales, ignores activation frequency and sign cancellation, and is not causal feature importance, branch contribution, robustness, or interpretability evidence."
6,sweeping,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed6.pt,f0bfd30858d67416afa822b981aec7b5e6d7af7e53dd3f6b9dbf452ea9e84973,07cdbc94914a2d67eb2df705f3cda775cea26322a1de9b253050a5a1acadfe5f,03_实验代码\experiment_v2\src\models.py,3f8322a50594125add3f4a997af2c5f5a8ae565f0016de5b3cc07e1d2a587986,projection.0.weight,128x128,"columns 0:64 = LayerNorm([h,h^2]) positions for h; columns 64:128 = positions for h^2",64,8192,0.019530434569536237,0.02964533086911557,0.010114896299579332,1.517904313064116,3.2375062463896116,4.602503832369505,"Descriptive raw-weight magnitude only. It is scale- and reparameterization-dependent, is coupled to learned LayerNorm and upstream activation scales, ignores activation frequency and sign cancellation, and is not causal feature importance, branch contribution, robustness, or interpretability evidence."
7,sweeping,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed7.pt,3ab0f64a93352d9cdbd2a91cf35f721ad1b9ae94f19f8cdf23d61ac7e81c4635,07cdbc94914a2d67eb2df705f3cda775cea26322a1de9b253050a5a1acadfe5f,03_实验代码\experiment_v2\src\models.py,3f8322a50594125add3f4a997af2c5f5a8ae565f0016de5b3cc07e1d2a587986,projection.0.weight,128x128,"columns 0:64 = LayerNorm([h,h^2]) positions for h; columns 64:128 = positions for h^2",64,8192,0.02112333068873335,0.02722476518639908,0.006101434497665731,1.2888481266318517,3.3306947466881125,4.2484334686153495,"Descriptive raw-weight magnitude only. It is scale- and reparameterization-dependent, is coupled to learned LayerNorm and upstream activation scales, ignores activation frequency and sign cancellation, and is not causal feature importance, branch contribution, robustness, or interpretability evidence."
8,sweeping,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed8.pt,c5d489701525d824e77803f5d6a0973f8462ec99bc15f5b6280784e813c5a9ea,07cdbc94914a2d67eb2df705f3cda775cea26322a1de9b253050a5a1acadfe5f,03_实验代码\experiment_v2\src\models.py,3f8322a50594125add3f4a997af2c5f5a8ae565f0016de5b3cc07e1d2a587986,projection.0.weight,128x128,"columns 0:64 = LayerNorm([h,h^2]) positions for h; columns 64:128 = positions for h^2",64,8192,0.020865016702044152,0.026085301091702578,0.005220284389658426,1.2501931565263014,3.3448265289528956,4.200062882099921,"Descriptive raw-weight magnitude only. It is scale- and reparameterization-dependent, is coupled to learned LayerNorm and upstream activation scales, ignores activation frequency and sign cancellation, and is not causal feature importance, branch contribution, robustness, or interpretability evidence."
9,sweeping,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed9.pt,7885139b43d1b0f377d0fab856bf3aa8612561487e9bccd21e402b048b102d4d,07cdbc94914a2d67eb2df705f3cda775cea26322a1de9b253050a5a1acadfe5f,03_实验代码\experiment_v2\src\models.py,3f8322a50594125add3f4a997af2c5f5a8ae565f0016de5b3cc07e1d2a587986,projection.0.weight,128x128,"columns 0:64 = LayerNorm([h,h^2]) positions for h; columns 64:128 = positions for h^2",64,8192,0.02113992752403121,0.02911371371327342,0.007973786189242209,1.3771908006864195,3.232822324883036,4.354386649622102,"Descriptive raw-weight magnitude only. It is scale- and reparameterization-dependent, is coupled to learned LayerNorm and upstream activation scales, ignores activation frequency and sign cancellation, and is not causal feature importance, branch contribution, robustness, or interpretability evidence."
10,sweeping,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed10.pt,08cc024a1f876bdfbeb34bca1c4880345b0ac40db025b1556f8fd77a421b0190,07cdbc94914a2d67eb2df705f3cda775cea26322a1de9b253050a5a1acadfe5f,03_实验代码\experiment_v2\src\models.py,3f8322a50594125add3f4a997af2c5f5a8ae565f0016de5b3cc07e1d2a587986,projection.0.weight,128x128,"columns 0:64 = LayerNorm([h,h^2]) positions for h; columns 64:128 = positions for h^2",64,8192,0.021832155852205635,0.029008843843174894,0.007176687990969259,1.3287209948276464,3.486529427032212,4.505843208087535,"Descriptive raw-weight magnitude only. It is scale- and reparameterization-dependent, is coupled to learned LayerNorm and upstream activation scales, ignores activation frequency and sign cancellation, and is not causal feature importance, branch contribution, robustness, or interpretability evidence."
