train_seed,jammer_mode,branch,mean_absolute_outgoing_weight,frobenius_norm,projection_weight_key
1,sweeping,linear_h,0.023230294403692564,3.5002719806097073,projection.0.weight
1,sweeping,squared_h2,0.03124568988619328,4.483787861108071,projection.0.weight
2,sweeping,linear_h,0.021825636628729567,3.370945377728391,projection.0.weight
2,sweeping,squared_h2,0.03136536175332976,4.616768678733202,projection.0.weight
3,sweeping,linear_h,0.021699940952778832,3.3657116483169585,projection.0.weight
3,sweeping,squared_h2,0.030185948017006164,4.508040649904657,projection.0.weight
4,sweeping,linear_h,0.02117504989554852,3.320240805813228,projection.0.weight
4,sweeping,squared_h2,0.027762220279802564,4.320449175256831,projection.0.weight
5,sweeping,linear_h,0.021213861848942518,3.2874881913907696,projection.0.weight
5,sweeping,squared_h2,0.03146482465985153,4.581914318605934,projection.0.weight
6,sweeping,linear_h,0.019530434569536237,3.2375062463896116,projection.0.weight
6,sweeping,squared_h2,0.02964533086911557,4.602503832369505,projection.0.weight
7,sweeping,linear_h,0.02112333068873335,3.3306947466881125,projection.0.weight
7,sweeping,squared_h2,0.02722476518639908,4.2484334686153495,projection.0.weight
8,sweeping,linear_h,0.020865016702044152,3.3448265289528956,projection.0.weight
8,sweeping,squared_h2,0.026085301091702578,4.200062882099921,projection.0.weight
9,sweeping,linear_h,0.02113992752403121,3.232822324883036,projection.0.weight
9,sweeping,squared_h2,0.02911371371327342,4.354386649622102,projection.0.weight
10,sweeping,linear_h,0.021832155852205635,3.486529427032212,projection.0.weight
10,sweeping,squared_h2,0.029008843843174894,4.505843208087535,projection.0.weight
1,random,linear_h,0.02260923085019452,3.3517414109214165,projection.0.weight
1,random,squared_h2,0.030384022520675777,4.3355801716218165,projection.0.weight
2,random,linear_h,0.022799349235417665,3.400840604526512,projection.0.weight
2,random,squared_h2,0.029419209379907635,4.3292287467699015,projection.0.weight
3,random,linear_h,0.02184446587369241,3.3353643815035685,projection.0.weight
3,random,squared_h2,0.029973926458871557,4.421712906388192,projection.0.weight
4,random,linear_h,0.023080676566621782,3.4891552513547675,projection.0.weight
4,random,squared_h2,0.030783291617073952,4.451343792140365,projection.0.weight
5,random,linear_h,0.023540319935179133,3.4652033278326253,projection.0.weight
5,random,squared_h2,0.03141485048736319,4.481666155960524,projection.0.weight
6,random,linear_h,0.021379760992467127,3.3691094022263246,projection.0.weight
6,random,squared_h2,0.030240780198213656,4.437612148485489,projection.0.weight
7,random,linear_h,0.020874676010332896,3.1314886704160427,projection.0.weight
7,random,squared_h2,0.02914237707298424,4.327391359864491,projection.0.weight
8,random,linear_h,0.022551683235374043,3.5063864449452775,projection.0.weight
8,random,squared_h2,0.027248630079591014,4.247111462973891,projection.0.weight
9,random,linear_h,0.02121799524977289,3.231660489024351,projection.0.weight
9,random,squared_h2,0.03127601446311932,4.5320618908570225,projection.0.weight
10,random,linear_h,0.021187148394939917,3.339072986643377,projection.0.weight
10,random,squared_h2,0.031322204002451975,4.609123697752988,projection.0.weight
