condition,condition_role,distance_cm,power_dbm,jammer_mode,variant_run,method_a,method_b,metric,n_pairs,mean_a,sd_a,mean_b,sd_b,mean_difference,ci95_low,ci95_high,effect_dz,p_exact,p_holm,holm_family,condition_label,variant_label,row_label,holm_label,color,marker,condition_order,variant_order,jammer_order
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,hnp,no_polynomial,return,10,96.69000000000004,0.8263910830969917,96.29650000000004,1.3556549257748964,0.3934999999999959,-0.8663329560931834,1.653332956093175,0.2234367192451736,0.59375,1.0,exploratory_ablation_return_all_conditions_jammers,Pilot,No polynomial,Pilot · No polynomial,Holm p=1.000,#E69F00,o,0,0,0
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,hnp,no_layernorm,return,10,96.69000000000004,0.8263910830969917,96.98650000000004,0.5856148241141245,-0.2965000000000003,-0.843190711205933,0.2501907112059324,-0.3879768181128761,0.255859375,1.0,exploratory_ablation_return_all_conditions_jammers,Pilot,No LayerNorm,Pilot · No LayerNorm,Holm p=1.000,#009E73,s,0,1,0
within_condition_pilot,transparent_pilot,20,10,sweeping,no_dueling,hnp,no_dueling,return,10,96.69000000000004,0.8263910830969917,95.57700000000006,2.210920120171173,1.112999999999984,-0.6565781339820309,2.882578133981999,0.4499333604294542,0.189453125,1.0,exploratory_ablation_return_all_conditions_jammers,Pilot,No dueling,Pilot · No dueling,Holm p=1.000,#CC79A7,^,0,2,0
within_condition_pilot,transparent_pilot,20,10,sweeping,gamma0,hnp,hnp_gamma0,return,10,96.69000000000004,0.8263910830969917,97.09400000000004,0.6747048737534544,-0.404000000000002,-1.0564488121722535,0.2484488121722495,-0.4429530480055367,0.208984375,1.0,exploratory_ablation_return_all_conditions_jammers,Pilot,"HNP, $\gamma=0$","Pilot · HNP, $\gamma=0$",Holm p=1.000,#0072B2,D,0,3,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_polynomial,hnp,no_polynomial,return,10,95.08750000000003,1.439709172020509,95.97550000000004,1.8381458804397903,-0.8879999999999925,-2.801161977829,1.0251619778290153,-0.3320351020348451,0.30859375,1.0,exploratory_ablation_return_all_conditions_jammers,Distance shift,No polynomial,Distance shift · No polynomial,Holm p=1.000,#E69F00,o,1,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_layernorm,hnp,no_layernorm,return,10,95.08750000000003,1.439709172020509,96.33400000000005,0.6461673329890888,-1.246499999999979,-2.35570446228578,-0.1372955377141782,-0.8039026289859036,0.037109375,0.7421875,exploratory_ablation_return_all_conditions_jammers,Distance shift,No LayerNorm,Distance shift · No LayerNorm,Holm p=0.742,#009E73,s,1,1,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_dueling,hnp,no_dueling,return,10,95.08750000000003,1.439709172020509,94.82700000000006,1.5649728432148395,0.2604999999999918,-1.3621994076517745,1.8831994076517584,0.114839799121901,0.716796875,1.0,exploratory_ablation_return_all_conditions_jammers,Distance shift,No dueling,Distance shift · No dueling,Holm p=1.000,#CC79A7,^,1,2,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,gamma0,hnp,hnp_gamma0,return,10,95.08750000000003,1.439709172020509,89.506,6.723241116538307,5.581500000000029,0.1201486159940019,11.042851384006056,0.7310946119429429,0.046875,0.890625,exploratory_ablation_return_all_conditions_jammers,Distance shift,"HNP, $\gamma=0$","Distance shift · HNP, $\gamma=0$",Holm p=0.891,#0072B2,D,1,3,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_polynomial,hnp,no_polynomial,return,10,96.63000000000004,0.8674195447801815,96.63450000000005,0.8776497972805807,-0.0045000000000044,-0.9923711517097306,0.9833711517097218,-0.0032586294997878,0.99609375,1.0,exploratory_ablation_return_all_conditions_jammers,Power shift,No polynomial,Power shift · No polynomial,Holm p=1.000,#E69F00,o,2,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_layernorm,hnp,no_layernorm,return,10,96.63000000000004,0.8674195447801815,96.70200000000004,0.374159799491548,-0.0719999999999998,-0.8024821937364857,0.658482193736486,-0.0705091755456815,0.80859375,1.0,exploratory_ablation_return_all_conditions_jammers,Power shift,No LayerNorm,Power shift · No LayerNorm,Holm p=1.000,#009E73,s,2,1,0
