condition,condition_role,distance_cm,power_dbm,jammer_mode,method,method_label,role,point_type,train_seed,n_training_seeds,n_fixed_trajectories_per_seed,return,ci95_low,ci95_high,return_sd_descriptive,collision_rate,switch_rate,color,marker,hollow,condition_order,jammer_order,method_order,point_order
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,1.0,10,20,95.00000000000006,,,,0.0,0.5,#0072B2,o,False,0,0,0,0
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,2.0,10,20,96.85000000000004,,,,0.0015,0.2865,#0072B2,o,False,0,0,0,0
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,3.0,10,20,97.37000000000003,,,,0.0,0.263,#0072B2,o,False,0,0,0,0
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,4.0,10,20,96.56500000000004,,,,0.0,0.3435,#0072B2,o,False,0,0,0,0
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,5.0,10,20,97.24500000000003,,,,0.001,0.2565,#0072B2,o,False,0,0,0,0
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,6.0,10,20,97.50000000000004,,,,0.0,0.25,#0072B2,o,False,0,0,0,0
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,7.0,10,20,95.73500000000004,,,,0.0,0.4265,#0072B2,o,False,0,0,0,0
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,8.0,10,20,97.11500000000004,,,,0.0,0.2885,#0072B2,o,False,0,0,0,0
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,9.0,10,20,97.36000000000004,,,,0.0,0.264,#0072B2,o,False,0,0,0,0
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,10.0,10,20,96.16,,,,0.008,0.2239999999999999,#0072B2,o,False,0,0,0,0
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,HNP-DQN,learned,training_seed_mean_t95ci,,10,20,96.69000000000003,96.09883543165941,97.28116456834064,0.8263910830969917,0.0010500000000000002,0.31024999999999997,#0072B2,o,False,0,0,0,1
within_condition_pilot,transparent_pilot,20,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,1.0,10,20,95.63000000000004,,,,0.001,0.418,#D55E00,s,False,0,0,1,0
within_condition_pilot,transparent_pilot,20,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,2.0,10,20,97.51500000000004,,,,0.001,0.2285,#D55E00,s,False,0,0,1,0
within_condition_pilot,transparent_pilot,20,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,3.0,10,20,96.34500000000004,,,,0.0,0.3655,#D55E00,s,False,0,0,1,0
within_condition_pilot,transparent_pilot,20,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,4.0,10,20,96.03000000000006,,,,0.002,0.359,#D55E00,s,False,0,0,1,0
within_condition_pilot,transparent_pilot,20,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,5.0,10,20,97.52500000000002,,,,0.0,0.2475,#D55E00,s,False,0,0,1,0
within_condition_pilot,transparent_pilot,20,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,6.0,10,20,96.88000000000004,,,,0.0035,0.2455,#D55E00,s,False,0,0,1,0
within_condition_pilot,transparent_pilot,20,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,7.0,10,20,97.34500000000004,,,,0.0,0.2655,#D55E00,s,False,0,0,1,0
within_condition_pilot,transparent_pilot,20,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,8.0,10,20,97.43000000000004,,,,0.0,0.257,#D55E00,s,False,0,0,1,0
within_condition_pilot,transparent_pilot,20,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,9.0,10,20,97.07000000000004,,,,0.001,0.273,#D55E00,s,False,0,0,1,0
within_condition_pilot,transparent_pilot,20,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,10.0,10,20,96.04000000000003,,,,0.0,0.396,#D55E00,s,False,0,0,1,0
within_condition_pilot,transparent_pilot,20,10,sweeping,matched,Capacity-matched MLP,learned,training_seed_mean_t95ci,,10,20,96.78100000000005,96.27220234823177,97.28979765176832,0.7112500732278777,0.0008500000000000001,0.30555,#D55E00,s,False,0,0,1,1
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,Threshold / hysteresis,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,96.55500000000004,,,0.4122786487444194,0.0,0.3445,#009E73,^,False,0,0,2,1
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,Maximum measured quality,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,96.07000000000005,,,0.6921362810739949,0.0,0.39299999999999996,#E69F00,v,False,0,0,3,1
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,Stay,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,74.0,,,0.0,0.12999999999999998,0.0,#56B4E9,<,False,0,0,4,1
within_condition_pilot,transparent_pilot,20,10,sweeping,random,Random,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,66.55499999999996,,,6.105689753698705,0.1295,0.8664999999999999,#CC79A7,>,False,0,0,5,1
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,Schedule-aware (sweep only),schedule-aware,fixed_trajectory_mean_no_seed_ci,,0,20,98.6,,,2.9160058604848984e-14,0.0,0.14000000000000004,#000000,X,False,0,0,6,1
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,Jammer-aware greedy (privileged),privileged-current-label,fixed_trajectory_mean_no_seed_ci,,0,20,97.49000000000004,,,0.04472135954999642,0.0,0.251,#009E73,D,True,0,0,7,1
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,Clairvoyant DP (privileged upper bound),privileged-full-sequence,fixed_trajectory_mean_no_seed_ci,,0,20,98.6,,,2.9160058604848984e-14,0.0,0.14000000000000004,#000000,*,True,0,0,8,1
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,1.0,10,20,94.33000000000006,,,,0.0045,0.4774999999999999,#0072B2,o,False,1,0,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,2.0,10,20,94.21500000000005,,,,0.014,0.311,#0072B2,o,False,1,0,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,3.0,10,20,95.14500000000004,,,,0.0115,0.257,#0072B2,o,False,1,0,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,4.0,10,20,93.21000000000006,,,,0.0105,0.477,#0072B2,o,False,1,0,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,5.0,10,20,96.46000000000004,,,,0.0035,0.2875,#0072B2,o,False,1,0,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,6.0,10,20,97.12000000000003,,,,0.0,0.288,#0072B2,o,False,1,0,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,7.0,10,20,93.54500000000004,,,,0.0105,0.4429999999999999,#0072B2,o,False,1,0,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,8.0,10,20,95.18500000000006,,,,0.0,0.4815,#0072B2,o,False,1,0,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,9.0,10,20,97.29500000000004,,,,0.0,0.2705,#0072B2,o,False,1,0,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,HNP-DQN,learned,individual_training_seed,10.0,10,20,94.37000000000006,,,,0.001,0.5435,#0072B2,o,False,1,0,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,HNP-DQN,learned,training_seed_mean_t95ci,,10,20,95.08750000000005,94.05759410118043,96.11740589881967,1.439709172020509,0.005549999999999999,0.38365,#0072B2,o,False,1,0,0,1
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,1.0,10,20,96.68000000000004,,,,0.0015,0.3035,#D55E00,s,False,1,0,1,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,2.0,10,20,96.55000000000004,,,,0.004,0.2685,#D55E00,s,False,1,0,1,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,3.0,10,20,95.92500000000004,,,,0.0015,0.379,#D55E00,s,False,1,0,1,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,4.0,10,20,95.99500000000003,,,,0.0045,0.312,#D55E00,s,False,1,0,1,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,5.0,10,20,95.65000000000003,,,,0.0075,0.287,#D55E00,s,False,1,0,1,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,6.0,10,20,95.89000000000004,,,,0.0034999999999999,0.341,#D55E00,s,False,1,0,1,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,7.0,10,20,93.64000000000006,,,,0.01,0.446,#D55E00,s,False,1,0,1,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,8.0,10,20,95.10500000000005,,,,0.0075,0.347,#D55E00,s,False,1,0,1,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,9.0,10,20,96.19000000000004,,,,0.0055,0.2765,#D55E00,s,False,1,0,1,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,10.0,10,20,95.89500000000004,,,,0.0045,0.3205,#D55E00,s,False,1,0,1,0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,matched,Capacity-matched MLP,learned,training_seed_mean_t95ci,,10,20,95.75200000000004,95.13441958591203,96.36958041408805,0.8633178891797433,0.004999999999999989,0.3281,#D55E00,s,False,1,0,1,1
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,threshold,Threshold / hysteresis,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,96.42000000000004,,,0.23305748105066895,0.0,0.358,#009E73,^,False,1,0,2,1
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,max_quality,Maximum measured quality,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,96.30500000000004,,,0.3170173496829452,0.0,0.3695,#E69F00,v,False,1,0,3,1
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,stay,Stay,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,74.0,,,0.0,0.12999999999999998,0.0,#56B4E9,<,False,1,0,4,1
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,random,Random,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,67.36499999999994,,,5.7179564807533945,0.12500000000000003,0.876,#CC79A7,>,False,1,0,5,1
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,schedule_sweep,Schedule-aware (sweep only),schedule-aware,fixed_trajectory_mean_no_seed_ci,,0,20,98.6,,,2.9160058604848984e-14,0.0,0.14000000000000004,#000000,X,False,1,0,6,1
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,jammer_greedy,Jammer-aware greedy (privileged),privileged-current-label,fixed_trajectory_mean_no_seed_ci,,0,20,97.50000000000003,,,1.4580029302424492e-14,0.0,0.25,#009E73,D,True,1,0,7,1
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,clairvoyant_oracle,Clairvoyant DP (privileged upper bound),privileged-full-sequence,fixed_trajectory_mean_no_seed_ci,,0,20,98.6,,,2.9160058604848984e-14,0.0,0.14000000000000004,#000000,*,True,1,0,8,1
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,1.0,10,20,96.23500000000004,,,,0.004,0.2965,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,2.0,10,20,96.22500000000004,,,,0.0055,0.273,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,3.0,10,20,97.37000000000003,,,,0.0,0.263,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,4.0,10,20,97.50000000000004,,,,0.0,0.25,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,5.0,10,20,96.24500000000003,,,,0.006,0.2615,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,6.0,10,20,97.22500000000002,,,,0.0015,0.2475,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,7.0,10,20,96.25500000000004,,,,0.0,0.3745,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,8.0,10,20,94.72000000000006,,,,0.0,0.528,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,9.0,10,20,97.43000000000004,,,,0.0,0.257,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,10.0,10,20,97.09500000000004,,,,0.0025,0.2405,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,training_seed_mean_t95ci,,10,20,96.63000000000004,96.00948543825227,97.2505145617478,0.8674195447801815,0.00195,0.29915,#0072B2,o,False,2,0,0,1
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,1.0,10,20,95.45500000000006,,,,0.0015,0.426,#D55E00,s,False,2,0,1,0
