record_type,profile_order,model,jammer_mode,profiling_seed,profiling_seed_role,training_data_scope,validation_loaded_not_used_for_training,train_episodes,episode_length,environment_steps,optimizer_updates,cpu_intraop_threads,cpu_interop_threads,agent_initialization_wall_seconds,training_loop_wall_seconds,agent_init_plus_training_wall_seconds,trainable_parameters,parameter_bytes,registered_buffer_bytes,inference_persistent_tensor_bytes,inference_persistent_tensor_bytes_scope,canonical_train_seed,checkpoint_path,checkpoint_sha256,checkpoint_bytes,latency_input,latency_warmup,latency_repetitions,latency_synchronization,gpu_latency_pacing_seconds,gpu_latency_pacing_scope,gpu_utilization_intent,batch1_cpu_latency_ms_median,batch1_cpu_latency_ms_mean,batch1_cpu_latency_ms_p05,batch1_cpu_latency_ms_p95,batch1_gpu_latency_ms_median,batch1_gpu_latency_ms_mean,batch1_gpu_latency_ms_p05,batch1_gpu_latency_ms_p95,serialized_state_bytes,serialized_state_bytes_role,checkpoint_bytes_role
isolated_training_wall_time,0,hnp,sweeping,91001.0,engineering cost-profiling seeds only; not units for policy-performance inference,20cm/10dBm train scans 0-6 only,True,200.0,100.0,20000.0,19937.0,1.0,1.0,0.648898300001747,79.55376010001055,80.2026584000123,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",,,,,,,,,,,,,,,,,,,,,,
isolated_training_wall_time,1,matched,sweeping,91001.0,engineering cost-profiling seeds only; not units for policy-performance inference,20cm/10dBm train scans 0-6 only,True,200.0,100.0,20000.0,19937.0,1.0,1.0,0.0031026000069687143,47.528775500002666,47.531878100009635,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",,,,,,,,,,,,,,,,,,,,,,
isolated_training_wall_time,2,matched,sweeping,91002.0,engineering cost-profiling seeds only; not units for policy-performance inference,20cm/10dBm train scans 0-6 only,True,200.0,100.0,20000.0,19937.0,1.0,1.0,0.0032596000091871247,47.478746499997214,47.4820061000064,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",,,,,,,,,,,,,,,,,,,,,,
isolated_training_wall_time,3,hnp,sweeping,91002.0,engineering cost-profiling seeds only; not units for policy-performance inference,20cm/10dBm train scans 0-6 only,True,200.0,100.0,20000.0,19937.0,1.0,1.0,0.002430699998512864,76.32867599999008,76.3311066999886,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",,,,,,,,,,,,,,,,,,,,,,
isolated_training_wall_time,4,hnp,sweeping,91003.0,engineering cost-profiling seeds only; not units for policy-performance inference,20cm/10dBm train scans 0-6 only,True,200.0,100.0,20000.0,19937.0,1.0,1.0,0.0023027000133879483,82.44305490000988,82.44535760002327,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",,,,,,,,,,,,,,,,,,,,,,
isolated_training_wall_time,5,matched,sweeping,91003.0,engineering cost-profiling seeds only; not units for policy-performance inference,20cm/10dBm train scans 0-6 only,True,200.0,100.0,20000.0,19937.0,1.0,1.0,0.0033671999990474433,56.88199739999254,56.88536459999159,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",,,,,,,,,,,,,,,,,,,,,,
canonical_checkpoint_inference,0,hnp,random,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",1.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_random_seed1.pt,44438b66df7ef1cb0d58377eb4948a8d7cf85be72045d3704f5855e89d6746e9,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.11555,0.129796,0.0951,0.17925499999999994,1.3389,1.6593579000000003,0.9088400000000001,3.3558849999999976,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,1,hnp,random,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",2.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_random_seed2.pt,530da9e6aeaf3f9dc6bbf36a29d1d4ace3380822e3a15c62bcf4cf11f377bea4,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.11745,0.15634800000000001,0.0933,0.3575099999999997,1.3552499999999998,1.5974184,0.911875,3.115915,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,2,hnp,random,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",3.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_random_seed3.pt,ce5026a8aa8700a79bb8ff1825d576bd61773f1563c439f1f5b3e1e1f6df7704,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.1183,0.1370118,0.096895,0.1928199999999999,1.3548499999999999,1.6127507,0.90469,3.050184999999999,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,3,hnp,random,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",4.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_random_seed4.pt,4b55e33e136ff493d0fe8ae6cc2a9ef06aa77ae413fb3af5683b659b8e84c616,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.11015,0.1418613,0.0932,0.29331999999999997,1.3714,1.5819398999999998,0.9038700000000001,2.936734999999999,140193.0,"storage size, not memory","storage size, not memory"
