model,train_seed,trainable_parameters,parameter_bytes,registered_buffer_bytes,inference_persistent_tensor_bytes,inference_tensor_bytes_scope,serialized_state_bytes,checkpoint_bytes,training_seconds,batch1_cpu_latency_ms_median,batch1_gpu_latency_ms_median,latency_repeats,device_used_for_training,jammer_mode
hnp,1,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,73.69144640000013,0.1241,0.45665,200,cpu,sweeping
hnp,2,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,75.56099779999931,0.1201,0.49724999999999997,200,cpu,sweeping
hnp,3,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,75.03188370000862,0.12275,0.5379,200,cpu,sweeping
hnp,4,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,73.76004120000289,0.12645,0.46785,200,cpu,sweeping
hnp,5,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,73.6356977999967,0.11185,0.5279,200,cpu,sweeping
hnp,6,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,73.06805170000007,0.1109,0.52185,200,cpu,sweeping
hnp,7,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,74.7834709000017,0.1326,0.5450999999999999,200,cpu,sweeping
hnp,8,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,76.5240577999939,0.1154,0.5016499999999999,200,cpu,sweeping
hnp,9,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,76.48045200000342,0.1188,0.53155,200,cpu,sweeping
hnp,10,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,74.82976730000519,0.11935000000000001,0.4312,200,cpu,sweeping
hnp,1,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,75.26106699999946,0.12215000000000001,0.5155000000000001,200,cpu,random
hnp,2,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,75.42461240000557,0.1186,0.5192000000000001,200,cpu,random
hnp,3,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,77.67001770000206,0.12619999999999998,0.5466,200,cpu,random
hnp,4,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,76.91037070000311,0.12275,0.5741499999999999,200,cpu,random
hnp,5,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,83.18139120000706,0.12435,0.7312000000000001,200,cpu,random
hnp,6,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,81.30322509999678,0.123,0.70015,200,cpu,random
hnp,7,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,82.41834099999687,0.1265,0.7097,200,cpu,random
hnp,8,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,82.79748459999973,0.11595,0.6826000000000001,200,cpu,random
hnp,9,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,86.01826279998932,0.1197,0.65195,200,cpu,random
hnp,10,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558159,85.66606829999364,0.129,0.6961,200,cpu,random
