condition,condition_role,distance_cm,power_dbm,jammer_mode,method,train_seed,return,collisions,collision_rate,switches,switch_rate
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,1.0,77.78,11.0,0.11000000000000001,2.35,0.0235
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,2.0,81.8,8.85,0.0885,5.0,0.05
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,3.0,84.025,7.7,0.077,5.8,0.05800000000000001
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,4.0,96.85500000000002,0.85,0.008499999999999999,14.5,0.145
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,5.0,82.94500000000001,8.25,0.0825,5.6,0.05600000000000001
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,6.0,91.74500000000002,3.5,0.034999999999999996,12.65,0.1265
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,7.0,97.98000000000002,0.3,0.003,14.2,0.142
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,8.0,98.33000000000001,0.1,0.001,14.7,0.147
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,9.0,92.11000000000001,3.4,0.034,10.95,0.1095
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,10.0,89.64500000000001,4.7,0.047,9.55,0.0955
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,1.0,96.01500000000003,0.55,0.0055,28.85,0.28850000000000003
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,2.0,96.60500000000003,0.45,0.0045,24.95,0.2495
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,3.0,85.66000000000001,6.6,0.066,12.3,0.123
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,4.0,87.78500000000001,5.4,0.054000000000000006,14.2,0.142
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,5.0,77.295,11.25,0.1125,2.1,0.020999999999999998
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,6.0,80.06500000000001,9.45,0.0945,10.85,0.1085
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,7.0,93.63500000000002,2.2,0.022,19.75,0.1975
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,8.0,95.19500000000002,1.3,0.013000000000000001,22.1,0.221
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,9.0,90.55000000000001,3.85,0.0385,17.5,0.175
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,10.0,92.25500000000002,2.75,0.027500000000000004,22.5,0.225
power_shift_20cm_5dBm,cross_configuration,20,5,random,hnp,1.0,97.29,0.75,0.0075,12.3,0.123
power_shift_20cm_5dBm,cross_configuration,20,5,random,hnp,2.0,98.47500000000001,0.15,0.0015,12.25,0.12250000000000001
power_shift_20cm_5dBm,cross_configuration,20,5,random,hnp,3.0,98.74000000000002,0.0,0.0,12.6,0.126
power_shift_20cm_5dBm,cross_configuration,20,5,random,hnp,4.0,98.30000000000003,0.0,0.0,17.0,0.16999999999999998
power_shift_20cm_5dBm,cross_configuration,20,5,random,hnp,5.0,98.63500000000002,0.0,0.0,13.65,0.1365
power_shift_20cm_5dBm,cross_configuration,20,5,random,hnp,6.0,98.69000000000003,0.0,0.0,13.1,0.131
power_shift_20cm_5dBm,cross_configuration,20,5,random,hnp,7.0,97.43500000000003,0.6,0.006,13.65,0.1365
power_shift_20cm_5dBm,cross_configuration,20,5,random,hnp,8.0,98.35500000000002,0.2,0.002,12.5,0.125
power_shift_20cm_5dBm,cross_configuration,20,5,random,hnp,9.0,98.65500000000002,0.05,0.0005,12.45,0.12450000000000001
power_shift_20cm_5dBm,cross_configuration,20,5,random,hnp,10.0,97.68500000000002,0.55,0.0055,12.15,0.12150000000000001
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,1.0,95.55500000000004,0.55,0.0055,33.45,0.33449999999999996
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,2.0,97.53500000000003,0.05,0.0005,23.65,0.23650000000000002
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,3.0,97.76000000000002,0.1,0.001,20.4,0.20400000000000001
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,4.0,96.43000000000004,0.65,0.006500000000000001,22.8,0.22800000000000004
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,5.0,96.72500000000002,0.55,0.0055,21.85,0.2185
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,6.0,96.66000000000003,0.45,0.0045,24.4,0.244
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,7.0,97.09500000000003,0.25,0.0025,24.05,0.24050000000000002
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,8.0,97.36500000000004,0.05,0.0005,25.4,0.254
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,9.0,97.05500000000004,0.25,0.0025,24.45,0.2445
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,10.0,96.05000000000004,0.4,0.004,31.5,0.315
within_condition_pilot,transparent_pilot,20,10,random,hnp,1.0,98.69000000000003,0.0,0.0,13.1,0.131
within_condition_pilot,transparent_pilot,20,10,random,hnp,2.0,98.89000000000001,0.0,0.0,11.1,0.11100000000000002
within_condition_pilot,transparent_pilot,20,10,random,hnp,3.0,98.72500000000002,0.0,0.0,12.75,0.1275
within_condition_pilot,transparent_pilot,20,10,random,hnp,4.0,98.25000000000003,0.0,0.0,17.5,0.175
within_condition_pilot,transparent_pilot,20,10,random,hnp,5.0,98.87000000000002,0.0,0.0,11.3,0.11300000000000002
within_condition_pilot,transparent_pilot,20,10,random,hnp,6.0,98.75500000000002,0.0,0.0,12.45,0.12450000000000001
within_condition_pilot,transparent_pilot,20,10,random,hnp,7.0,98.88500000000002,0.0,0.0,11.15,0.1115
within_condition_pilot,transparent_pilot,20,10,random,hnp,8.0,98.77500000000002,0.0,0.0,12.25,0.12250000000000001
within_condition_pilot,transparent_pilot,20,10,random,hnp,9.0,98.68500000000002,0.05,0.0005,12.15,0.12150000000000001
within_condition_pilot,transparent_pilot,20,10,random,hnp,10.0,98.77000000000001,0.0,0.0,12.3,0.123
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,1.0,97.42000000000003,0.0,0.0,25.8,0.258
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,2.0,97.45000000000002,0.05,0.0005,24.5,0.24499999999999997
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,3.0,97.94000000000003,0.0,0.0,20.6,0.20600000000000002
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,4.0,97.20500000000003,0.2,0.002,24.1,0.24100000000000002
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,5.0,97.68000000000004,0.0,0.0,23.2,0.23199999999999998
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,6.0,97.47000000000003,0.0,0.0,25.3,0.253
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,7.0,96.11500000000004,0.7,0.007000000000000001,24.9,0.24900000000000003
