model,jammer_mode,train_seed,episode,epsilon,return,collisions,collision_rate,switches,switch_rate,steps,mean_td_mse,updates
hnp,sweeping,1,0,1.0,78.30000000000001,7,0.07,82,0.82,100,0.046245474166966775,37
hnp,sweeping,1,1,0.9090909090909091,66.89999999999995,13,0.13,81,0.81,100,0.008923175637610256,137
hnp,sweeping,1,2,0.8333333333333334,69.89999999999998,11,0.11,88,0.88,100,0.006873433948494494,237
hnp,sweeping,1,3,0.7692307692307692,72.29999999999998,10,0.1,87,0.87,100,0.0021093444107100367,337
hnp,sweeping,1,4,0.7142857142857143,70.19999999999996,11,0.11,89,0.89,100,0.0017043777473736553,437
hnp,sweeping,1,5,0.6666666666666666,82.50000000000003,5,0.05,78,0.78,100,0.0013723808637587354,537
hnp,sweeping,1,6,0.625,76.40000000000002,8,0.08,83,0.83,100,0.0014498577348422258,637
hnp,sweeping,1,7,0.5882352941176471,75.60000000000001,9,0.09,72,0.72,100,0.0012574687652522698,737
hnp,sweeping,1,8,0.5555555555555556,75.10000000000001,9,0.09,77,0.77,100,0.0014982192649040371,837
hnp,sweeping,1,9,0.5263157894736842,81.2,6,0.06,73,0.73,100,0.0012527399708051235,937
hnp,sweeping,1,10,0.5,77.50000000000001,8,0.08,73,0.73,100,0.0011171344085596502,1037
hnp,sweeping,1,11,0.47619047619047616,70.89999999999999,12,0.12,62,0.62,100,0.0010609692125581206,1137
hnp,sweeping,1,12,0.45454545454545453,82.20000000000002,6,0.06,63,0.63,100,0.0008170493892976083,1237
hnp,sweeping,1,13,0.4347826086956522,74.6,10,0.1,63,0.63,100,0.0008273312082746997,1337
hnp,sweeping,1,14,0.4166666666666667,90.10000000000008,2,0.02,61,0.61,100,0.0009030684371828102,1437
hnp,sweeping,1,15,0.4,84.20000000000005,5,0.05,63,0.63,100,0.0008283283218042926,1537
hnp,sweeping,1,16,0.3846153846153846,88.50000000000006,3,0.03,58,0.58,100,0.0007638040767051279,1637
hnp,sweeping,1,17,0.37037037037037035,85.20000000000003,5,0.05,53,0.53,100,0.000889085792878177,1737
