condition,condition_role,distance_cm,power_dbm,jammer_mode,method,train_seed,return,collisions,collision_rate,switches,switch_rate
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_dueling,1.0,96.95500000000004,0.05,0.0005,29.45,0.2945
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_dueling,2.0,94.23500000000006,0.0,0.0,57.65,0.5765
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_dueling,3.0,96.79500000000004,0.1,0.001,30.1,0.301
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_dueling,4.0,98.04000000000003,0.0,0.0,19.6,0.196
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_dueling,5.0,94.67500000000007,0.0,0.0,53.25,0.5325
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_dueling,6.0,97.40500000000004,0.0,0.0,25.95,0.2595
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_dueling,7.0,97.50000000000003,0.15,0.0015,22.0,0.22000000000000003
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_dueling,8.0,97.11000000000003,0.1,0.001,26.95,0.2695
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_dueling,9.0,97.73500000000003,0.1,0.001,20.7,0.207
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_dueling,10.0,96.64000000000004,0.25,0.0025,28.6,0.286
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_dueling,1.0,95.08500000000005,0.5,0.005,39.65,0.39649999999999996
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_dueling,2.0,97.18500000000003,0.15,0.0015,25.2,0.252
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_dueling,3.0,92.80000000000007,0.05,0.0005,71.05,0.7105
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_dueling,4.0,94.77500000000006,0.0,0.0,52.25,0.5225
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_dueling,5.0,95.20500000000003,1.05,0.0105,28.0,0.28
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_dueling,6.0,95.32000000000005,0.45,0.0045,38.15,0.3815
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_dueling,7.0,93.17500000000008,0.0,0.0,68.25,0.6825
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_dueling,8.0,93.72500000000007,0.05,0.0005,61.8,0.618
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_dueling,9.0,93.62000000000008,0.05,0.0005,62.85,0.6285000000000001
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_dueling,10.0,97.38000000000002,0.0,0.0,26.2,0.262
power_shift_20cm_5dBm,cross_configuration,20,5,random,no_dueling,1.0,97.21000000000004,0.05,0.0005,26.9,0.269
power_shift_20cm_5dBm,cross_configuration,20,5,random,no_dueling,2.0,94.31000000000004,0.85,0.008499999999999999,40.5,0.40499999999999997
power_shift_20cm_5dBm,cross_configuration,20,5,random,no_dueling,3.0,97.41000000000004,0.0,0.0,25.9,0.259
power_shift_20cm_5dBm,cross_configuration,20,5,random,no_dueling,4.0,97.23500000000004,0.0,0.0,27.65,0.2765
power_shift_20cm_5dBm,cross_configuration,20,5,random,no_dueling,5.0,95.18000000000005,0.0,0.0,48.2,0.48200000000000004
power_shift_20cm_5dBm,cross_configuration,20,5,random,no_dueling,6.0,95.61500000000004,0.75,0.0075,29.45,0.2945
power_shift_20cm_5dBm,cross_configuration,20,5,random,no_dueling,7.0,97.43500000000003,0.0,0.0,25.65,0.2565
power_shift_20cm_5dBm,cross_configuration,20,5,random,no_dueling,8.0,97.76500000000003,0.0,0.0,22.35,0.22349999999999998
power_shift_20cm_5dBm,cross_configuration,20,5,random,no_dueling,9.0,95.88500000000002,0.95,0.0095,22.15,0.22149999999999997
power_shift_20cm_5dBm,cross_configuration,20,5,random,no_dueling,10.0,97.36500000000004,0.0,0.0,26.35,0.2635
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_dueling,1.0,96.17500000000004,0.45,0.0045,29.7,0.29700000000000004
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_dueling,2.0,96.67000000000003,0.35,0.0035000000000000005,26.4,0.264
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_dueling,3.0,92.04000000000008,0.0,0.0,79.6,0.796
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_dueling,4.0,97.10000000000002,0.2,0.002,25.05,0.2505
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_dueling,5.0,97.15500000000003,0.15,0.0015,25.45,0.2545
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_dueling,6.0,94.02500000000006,0.4,0.004,52.15,0.5215
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_dueling,7.0,93.90000000000006,0.0,0.0,61.0,0.61
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_dueling,8.0,93.87000000000006,0.0,0.0,61.3,0.613
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_dueling,9.0,97.47000000000003,0.0,0.0,25.3,0.253
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_dueling,10.0,96.36000000000004,0.0,0.0,36.4,0.364
within_condition_pilot,transparent_pilot,20,10,random,no_dueling,1.0,97.18500000000003,0.0,0.0,28.15,0.2815
within_condition_pilot,transparent_pilot,20,10,random,no_dueling,2.0,94.66000000000005,0.75,0.0075000000000000015,38.55,0.3855
within_condition_pilot,transparent_pilot,20,10,random,no_dueling,3.0,95.18500000000003,0.75,0.0075000000000000015,33.8,0.33799999999999997
within_condition_pilot,transparent_pilot,20,10,random,no_dueling,4.0,95.67000000000004,0.75,0.0075000000000000015,28.95,0.2895
within_condition_pilot,transparent_pilot,20,10,random,no_dueling,5.0,92.78000000000006,0.75,0.0075000000000000015,57.4,0.5740000000000001
within_condition_pilot,transparent_pilot,20,10,random,no_dueling,6.0,97.58000000000003,0.1,0.001,22.3,0.223
within_condition_pilot,transparent_pilot,20,10,random,no_dueling,7.0,97.12000000000003,0.0,0.0,28.8,0.288
within_condition_pilot,transparent_pilot,20,10,random,no_dueling,8.0,97.77500000000002,0.0,0.0,22.25,0.2225
within_condition_pilot,transparent_pilot,20,10,random,no_dueling,9.0,97.58500000000004,0.0,0.0,24.15,0.2415
within_condition_pilot,transparent_pilot,20,10,random,no_dueling,10.0,97.57000000000004,0.0,0.0,24.3,0.24300000000000002
within_condition_pilot,transparent_pilot,20,10,sweeping,no_dueling,1.0,96.68000000000004,0.0,0.0,33.2,0.332
within_condition_pilot,transparent_pilot,20,10,sweeping,no_dueling,2.0,93.61000000000004,0.75,0.0075,49.65,0.4965
within_condition_pilot,transparent_pilot,20,10,sweeping,no_dueling,3.0,91.20500000000007,0.15,0.0015,84.95,0.8494999999999999
within_condition_pilot,transparent_pilot,20,10,sweeping,no_dueling,4.0,97.50000000000003,0.0,0.0,25.0,0.25
within_condition_pilot,transparent_pilot,20,10,sweeping,no_dueling,5.0,97.34500000000003,0.0,0.0,26.55,0.26549999999999996
within_condition_pilot,transparent_pilot,20,10,sweeping,no_dueling,6.0,96.42000000000004,0.0,0.0,35.8,0.358
within_condition_pilot,transparent_pilot,20,10,sweeping,no_dueling,7.0,93.90000000000006,0.0,0.0,61.0,0.61
within_condition_pilot,transparent_pilot,20,10,sweeping,no_dueling,8.0,94.12500000000007,0.0,0.0,58.75,0.5875
within_condition_pilot,transparent_pilot,20,10,sweeping,no_dueling,9.0,97.50000000000003,0.0,0.0,25.0,0.25
within_condition_pilot,transparent_pilot,20,10,sweeping,no_dueling,10.0,97.48500000000003,0.0,0.0,25.15,0.2515
distance_shift_40cm_10dBm,cross_configuration,40,10,random,clairvoyant_oracle,,99.56,0.0,0.0,4.4,0.044
distance_shift_40cm_10dBm,cross_configuration,40,10,random,jammer_greedy,,98.77000000000001,0.0,0.0,12.3,0.123
distance_shift_40cm_10dBm,cross_configuration,40,10,random,max_quality,,96.11000000000004,0.0,0.0,38.9,0.389
distance_shift_40cm_10dBm,cross_configuration,40,10,random,random,,67.59999999999995,12.35,0.12350000000000001,87.6,0.876
distance_shift_40cm_10dBm,cross_configuration,40,10,random,stay,,74.8,12.6,0.126,0.0,0.0
distance_shift_40cm_10dBm,cross_configuration,40,10,random,threshold,,97.08500000000004,0.0,0.0,29.15,0.2915
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,clairvoyant_oracle,,98.60000000000002,0.0,0.0,14.0,0.14
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,jammer_greedy,,97.50000000000003,0.0,0.0,25.0,0.25
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,max_quality,,96.30500000000004,0.0,0.0,36.95,0.36950000000000005
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,random,,67.36499999999995,12.5,0.125,87.6,0.876
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,schedule_sweep,,98.60000000000002,0.0,0.0,14.0,0.14
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,stay,,74.0,13.0,0.13,0.0,0.0
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,threshold,,96.42000000000004,0.0,0.0,35.8,0.358
power_shift_20cm_5dBm,cross_configuration,20,5,random,clairvoyant_oracle,,99.555,0.0,0.0,4.45,0.0445
power_shift_20cm_5dBm,cross_configuration,20,5,random,jammer_greedy,,98.80500000000002,0.0,0.0,11.95,0.11950000000000001
power_shift_20cm_5dBm,cross_configuration,20,5,random,max_quality,,95.75000000000004,0.15,0.0015,39.5,0.395
power_shift_20cm_5dBm,cross_configuration,20,5,random,random,,66.67499999999995,12.85,0.1285,87.6,0.876
power_shift_20cm_5dBm,cross_configuration,20,5,random,stay,,75.4,12.3,0.123,0.0,0.0
power_shift_20cm_5dBm,cross_configuration,20,5,random,threshold,,96.70000000000003,0.2,0.002,29.0,0.29
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,clairvoyant_oracle,,98.60000000000002,0.0,0.0,14.0,0.14
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,jammer_greedy,,97.50000000000003,0.0,0.0,25.0,0.25
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,max_quality,,96.08500000000005,0.05,0.0005,38.2,0.382
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,random,,67.36499999999995,12.5,0.125,87.6,0.876
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,schedule_sweep,,98.60000000000002,0.0,0.0,14.0,0.14
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,stay,,74.0,13.0,0.13,0.0,0.0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,threshold,,96.49500000000003,0.0,0.0,35.05,0.3505
within_condition_pilot,transparent_pilot,20,10,random,clairvoyant_oracle,,99.57000000000001,0.0,0.0,4.3,0.043
within_condition_pilot,transparent_pilot,20,10,random,jammer_greedy,,98.73500000000003,0.0,0.0,12.65,0.1265
within_condition_pilot,transparent_pilot,20,10,random,max_quality,,95.37500000000006,0.0,0.0,46.25,0.4625
within_condition_pilot,transparent_pilot,20,10,random,random,,66.29999999999995,13.1,0.131,86.55,0.8654999999999999
within_condition_pilot,transparent_pilot,20,10,random,stay,,73.5,13.25,0.1325,0.0,0.0
within_condition_pilot,transparent_pilot,20,10,random,threshold,,96.90000000000003,0.0,0.0,31.0,0.31
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,98.60000000000002,0.0,0.0,14.0,0.14
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,97.49000000000004,0.0,0.0,25.1,0.251
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,96.07000000000004,0.0,0.0,39.3,0.393
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,66.55499999999995,12.95,0.1295,86.65,0.8664999999999999
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,98.60000000000002,0.0,0.0,14.0,0.14
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,74.0,13.0,0.13,0.0,0.0
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,96.55500000000004,0.0,0.0,34.45,0.3445
