condition,condition_role,distance_cm,power_dbm,jammer_mode,method,train_seed,eval_seed,scan_id,scan_replicate,start_index,window_start,trajectory_seed,return,collisions,collision_rate,switches,switch_rate,steps,terminated,truncated
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1001,8,0,141,141,417139048,58.89999999999993,17,0.17,87,0.87,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1002,9,0,102,102,616035509,72.59999999999997,10,0.1,83,0.83,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1003,8,1,171,171,53462609,62.09999999999992,15,0.15,91,0.91,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1004,9,1,252,252,54101657,72.19999999999999,10,0.1,88,0.88,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1005,8,2,246,246,1164639609,77.6,7,0.07,91,0.91,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1006,9,2,381,381,1755513553,60.69999999999993,16,0.16,87,0.87,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1007,8,3,414,414,1968337963,66.29999999999995,13,0.13,89,0.89,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1008,9,3,540,540,1011379023,68.29999999999994,12,0.12,86,0.86,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1009,8,4,307,307,113591513,72.49999999999999,10,0.1,83,0.83,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1010,9,4,259,259,1879995497,64.39999999999995,14,0.14,87,0.87,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1011,8,5,375,375,35167692,68.79999999999997,12,0.12,81,0.81,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1012,9,5,26,26,1950703055,72.19999999999999,10,0.1,88,0.88,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1013,8,6,346,346,353600298,74.30000000000001,9,0.09,81,0.81,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1014,9,6,208,208,430395198,59.19999999999993,17,0.17,83,0.83,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1015,8,7,417,417,799679715,60.49999999999993,16,0.16,91,0.91,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1016,9,7,279,279,1468889584,56.59999999999993,18,0.18,88,0.88,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1017,8,8,482,482,498078359,70.29999999999998,11,0.11,85,0.85,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1018,9,8,300,300,1988742220,58.89999999999993,17,0.17,86,0.86,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1019,8,9,185,185,1321941717,68.19999999999996,12,0.12,90,0.9,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,random,,1020,9,9,160,160,199798587,66.49999999999994,13,0.13,88,0.88,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1001,8,0,141,141,417139048,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1002,9,0,102,102,616035509,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1003,8,1,171,171,53462609,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1004,9,1,252,252,54101657,74.0,13,0.13,0,0.0,100,False,True
