model,train_seed,trainable_parameters,parameter_bytes,registered_buffer_bytes,inference_persistent_tensor_bytes,inference_tensor_bytes_scope,serialized_state_bytes,checkpoint_bytes,training_seconds,batch1_cpu_latency_ms_median,batch1_gpu_latency_ms_median,latency_repeats,device_used_for_training,jammer_mode
no_layernorm,1,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,63.91460389998974,0.10685,0.4314,200,cpu,sweeping
no_layernorm,2,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,64.12278109999897,0.1006,0.39895,200,cpu,sweeping
no_layernorm,3,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,65.76105220000318,0.10285,0.45875,200,cpu,sweeping
no_layernorm,4,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,64.4610074999946,0.1033,0.43145,200,cpu,sweeping
no_layernorm,5,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,64.7133174000046,0.1,0.4404,200,cpu,sweeping
no_layernorm,6,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,64.16239660000429,0.09834999999999999,0.45025000000000004,200,cpu,sweeping
no_layernorm,7,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,63.611659100002726,0.10505,0.46640000000000004,200,cpu,sweeping
no_layernorm,8,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,67.89920269999129,0.0986,0.4558,200,cpu,sweeping
no_layernorm,9,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,66.39693180000177,0.09955,0.35860000000000003,200,cpu,sweeping
no_layernorm,10,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,65.71343540000089,0.10085,0.49485,200,cpu,sweeping
no_layernorm,1,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,64.62667949999741,0.0967,0.47035,200,cpu,random
no_layernorm,2,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,64.42016069999954,0.10255,0.4546,200,cpu,random
no_layernorm,3,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,66.21889649999503,0.10095000000000001,0.4403,200,cpu,random
no_layernorm,4,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,64.04222119999758,0.10494999999999999,0.378,200,cpu,random
no_layernorm,5,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,65.5236692000035,0.1033,0.532,200,cpu,random
no_layernorm,6,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,66.4523853000137,0.10264999999999999,0.48915,200,cpu,random
no_layernorm,7,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,70.79395950000617,0.10214999999999999,0.67405,200,cpu,random
no_layernorm,8,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,72.87142470000254,0.11105000000000001,0.6028,200,cpu,random
no_layernorm,9,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,69.02306690000114,0.1001,0.5927,200,cpu,random
no_layernorm,10,32585,130340,1552,131892,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",138599,551277,72.23219919999246,0.1067,0.72495,200,cpu,random
