condition,condition_role,distance_cm,power_dbm,jammer_mode,method,train_seed,return,collisions,collision_rate,switches,switch_rate
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_layernorm,1.0,98.25500000000002,0.0,0.0,17.45,0.17450000000000002
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_layernorm,2.0,97.69500000000002,0.0,0.0,23.05,0.2305
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_layernorm,3.0,97.42000000000003,0.1,0.001,23.85,0.23850000000000002
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_layernorm,4.0,97.54000000000003,0.0,0.0,24.6,0.246
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_layernorm,5.0,96.67500000000004,0.1,0.001,31.3,0.313
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_layernorm,6.0,98.01500000000001,0.1,0.001,17.85,0.17850000000000002
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_layernorm,7.0,97.07500000000003,0.1,0.001,27.3,0.273
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_layernorm,8.0,97.35000000000004,0.0,0.0,26.5,0.265
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_layernorm,9.0,95.96000000000005,0.1,0.001,38.4,0.384
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_layernorm,10.0,97.68000000000002,0.0,0.0,23.2,0.23199999999999998
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_layernorm,1.0,96.81500000000004,0.35,0.0034999999999999996,25.2,0.252
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_layernorm,2.0,94.89000000000001,1.3,0.013000000000000001,26.4,0.264
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_layernorm,3.0,96.43000000000004,0.4,0.004,28.1,0.281
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_layernorm,4.0,96.51500000000004,0.5,0.005,25.2,0.252
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_layernorm,5.0,95.62000000000003,0.9,0.009,26.7,0.267
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_layernorm,6.0,96.69500000000002,0.35,0.0035000000000000005,26.4,0.264
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_layernorm,7.0,96.14500000000002,0.65,0.006500000000000001,25.6,0.256
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_layernorm,8.0,96.64000000000001,0.45,0.0045000000000000005,25.05,0.2505
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_layernorm,9.0,96.47500000000004,0.3,0.003,29.55,0.2955
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_layernorm,10.0,97.11500000000004,0.1,0.001,26.85,0.2685
