model,jammer_mode,train_seed,episode,epsilon,return,collisions,collision_rate,switches,switch_rate,steps,mean_td_mse,updates
no_layernorm,sweeping,1,0,1.0,78.30000000000001,7,0.07,82,0.82,100,0.08949327632482793,37
no_layernorm,sweeping,1,1,0.9090909090909091,68.89999999999996,12,0.12,80,0.8,100,0.022805529367178678,137
no_layernorm,sweeping,1,2,0.8333333333333334,70.19999999999997,11,0.11,85,0.85,100,0.020915810326114295,237
no_layernorm,sweeping,1,3,0.7692307692307692,72.49999999999999,10,0.1,85,0.85,100,0.01543647457845509,337
no_layernorm,sweeping,1,4,0.7142857142857143,70.59999999999998,11,0.11,85,0.85,100,0.01301068521104753,437
no_layernorm,sweeping,1,5,0.6666666666666666,82.4,5,0.05,79,0.79,100,0.013327235481701791,537
no_layernorm,sweeping,1,6,0.625,76.80000000000001,8,0.08,79,0.79,100,0.009626827253960073,637
no_layernorm,sweeping,1,7,0.5882352941176471,75.1,9,0.09,77,0.77,100,0.014764694478362799,737
no_layernorm,sweeping,1,8,0.5555555555555556,75.00000000000001,9,0.09,78,0.78,100,0.014615485486574471,837
no_layernorm,sweeping,1,9,0.5263157894736842,80.70000000000003,6,0.06,77,0.77,100,0.015230096979066729,937
no_layernorm,sweeping,1,10,0.5,77.20000000000002,8,0.08,76,0.76,100,0.014632288478314876,1037
no_layernorm,sweeping,1,11,0.47619047619047616,69.39999999999998,12,0.12,77,0.77,100,0.01138278585858643,1137
no_layernorm,sweeping,1,12,0.45454545454545453,81.10000000000004,6,0.06,74,0.74,100,0.010833763191476465,1237
no_layernorm,sweeping,1,13,0.4347826086956522,74.09999999999998,10,0.1,68,0.68,100,0.010110214739106595,1337
no_layernorm,sweeping,1,14,0.4166666666666667,89.30000000000008,2,0.02,69,0.69,100,0.013137671304866672,1437
no_layernorm,sweeping,1,15,0.4,84.10000000000005,5,0.05,64,0.64,100,0.01565762745216489,1537
no_layernorm,sweeping,1,16,0.3846153846153846,87.20000000000006,3,0.03,70,0.7,100,0.014478480592370033,1637
no_layernorm,sweeping,1,17,0.37037037037037035,84.40000000000002,5,0.05,61,0.61,100,0.019628740013577044,1737
no_layernorm,sweeping,1,18,0.35714285714285715,86.80000000000004,3,0.03,75,0.75,100,0.01726565195247531,1837
no_layernorm,sweeping,1,19,0.3448275862068966,90.90000000000009,1,0.01,72,0.72,100,0.01531046763062477,1937
no_layernorm,sweeping,1,20,0.3333333333333333,93.8000000000001,0,0.0,62,0.62,100,0.028687484888359906,2037
no_layernorm,sweeping,1,21,0.3225806451612903,79.70000000000002,7,0.07,69,0.69,100,0.02952027555089444,2137
no_layernorm,sweeping,1,22,0.3125,83.80000000000003,5,0.05,66,0.66,100,0.019650699188932776,2237
no_layernorm,sweeping,1,23,0.30303030303030304,74.89999999999998,10,0.1,61,0.61,100,0.01698659934103489,2337
no_layernorm,sweeping,1,24,0.29411764705882354,88.10000000000007,3,0.03,62,0.62,100,0.016438404521904884,2437
no_layernorm,sweeping,1,25,0.2857142857142857,90.20000000000009,2,0.02,60,0.6,100,0.01446788523113355,2537
no_layernorm,sweeping,1,26,0.2777777777777778,81.20000000000002,7,0.07,54,0.54,100,0.01956570706795901,2637
no_layernorm,sweeping,1,27,0.27027027027027023,84.50000000000004,5,0.05,60,0.6,100,0.018824734850786628,2737
no_layernorm,sweeping,1,28,0.2631578947368421,90.70000000000002,2,0.02,54,0.54,100,0.020995263434015213,2837
no_layernorm,sweeping,1,29,0.25641025641025644,94.10000000000008,0,0.0,59,0.59,100,0.022883232538588344,2937
no_layernorm,sweeping,1,30,0.25,78.90000000000003,8,0.08,59,0.59,100,0.020263827070593834,3037
no_layernorm,sweeping,1,31,0.24390243902439027,92.70000000000007,1,0.01,54,0.54,100,0.0160464384034276,3137
no_layernorm,sweeping,1,32,0.23809523809523808,88.10000000000007,3,0.03,61,0.61,100,0.02574677165132016,3237
no_layernorm,sweeping,1,33,0.23255813953488372,84.90000000000003,5,0.05,56,0.56,100,0.02418408910278231,3337
no_layernorm,sweeping,1,34,0.22727272727272727,92.40000000000003,1,0.01,57,0.57,100,0.023802879555150865,3437
no_layernorm,sweeping,1,35,0.2222222222222222,84.90000000000003,5,0.05,55,0.55,100,0.019502898938953878,3537
no_layernorm,sweeping,1,36,0.2173913043478261,85.00000000000003,5,0.05,54,0.54,100,0.019151031323708594,3637
no_layernorm,sweeping,1,37,0.2127659574468085,87.00000000000003,4,0.04,53,0.53,100,0.026710439720191062,3737
no_layernorm,sweeping,1,38,0.20833333333333334,88.80000000000005,3,0.03,55,0.55,100,0.026771087497472763,3837
no_layernorm,sweeping,1,39,0.2040816326530612,88.30000000000004,3,0.03,59,0.59,100,0.018620981122367083,3937
no_layernorm,sweeping,1,40,0.2,91.10000000000005,2,0.02,51,0.51,100,0.025612976201809943,4037
no_layernorm,sweeping,1,41,0.19607843137254904,91.00000000000006,2,0.02,52,0.52,100,0.021757655371911825,4137
no_layernorm,sweeping,1,42,0.1923076923076923,91.00000000000007,2,0.02,52,0.52,100,0.020819373442791403,4237
no_layernorm,sweeping,1,43,0.18867924528301888,90.90000000000003,2,0.02,53,0.53,100,0.0268268514983356,4337
no_layernorm,sweeping,1,44,0.18518518518518517,93.20000000000007,1,0.01,49,0.49,100,0.020961209274828432,4437
no_layernorm,sweeping,1,45,0.18181818181818182,92.00000000000006,1,0.01,61,0.61,100,0.019600598444230854,4537
no_layernorm,sweeping,1,46,0.17857142857142858,86.90000000000006,4,0.04,55,0.55,100,0.027081835572607814,4637
no_layernorm,sweeping,1,47,0.17543859649122806,86.30000000000003,4,0.04,61,0.61,100,0.038287129052914676,4737
no_layernorm,sweeping,1,48,0.1724137931034483,92.80000000000004,1,0.01,53,0.53,100,0.022366961259394885,4837
no_layernorm,sweeping,1,49,0.1694915254237288,84.90000000000005,5,0.05,56,0.56,100,0.02090169702656567,4937
no_layernorm,sweeping,1,50,0.16666666666666666,92.50000000000006,1,0.01,56,0.56,100,0.038348009744659066,5037
no_layernorm,sweeping,1,51,0.1639344262295082,87.60000000000002,4,0.04,48,0.48,100,0.02061618787702173,5137
no_layernorm,sweeping,1,52,0.16129032258064516,82.30000000000004,6,0.06,63,0.63,100,0.02368352041579783,5237
no_layernorm,sweeping,1,53,0.15873015873015872,90.90000000000005,2,0.02,53,0.53,100,0.03547260462772101,5337
no_layernorm,sweeping,1,54,0.15625,87.30000000000003,4,0.04,50,0.5,100,0.024341417774558068,5437
no_layernorm,sweeping,1,55,0.15384615384615385,94.70000000000003,1,0.01,34,0.34,100,0.025172205963172017,5537
no_layernorm,sweeping,1,56,0.15151515151515152,84.80000000000003,5,0.05,55,0.55,100,0.016499464330263437,5637
no_layernorm,sweeping,1,57,0.14925373134328357,92.00000000000006,2,0.02,42,0.42,100,0.01973649418912828,5737
no_layernorm,sweeping,1,58,0.14705882352941177,93.0000000000001,1,0.01,51,0.51,100,0.02530479998793453,5837
no_layernorm,sweeping,1,59,0.14492753623188406,94.50000000000006,0,0.0,55,0.55,100,0.02205140526406467,5937
no_layernorm,sweeping,1,60,0.14285714285714285,91.10000000000005,2,0.02,51,0.51,100,0.025418438808992506,6037
no_layernorm,sweeping,1,61,0.14084507042253522,90.50000000000003,2,0.02,57,0.57,100,0.02871483774855733,6137
no_layernorm,sweeping,1,62,0.1388888888888889,92.80000000000007,1,0.01,53,0.53,100,0.02294880507979542,6237
no_layernorm,sweeping,1,63,0.136986301369863,83.19999999999999,6,0.06,53,0.53,100,0.02754952570889145,6337
no_layernorm,sweeping,1,64,0.13513513513513511,94.70000000000005,0,0.0,53,0.53,100,0.025351164406165482,6437
no_layernorm,sweeping,1,65,0.13333333333333333,93.70000000000005,1,0.01,44,0.44,100,0.017213773685507475,6537
no_layernorm,sweeping,1,66,0.13157894736842105,95.20000000000007,0,0.0,48,0.48,100,0.01638771964702755,6637
no_layernorm,sweeping,1,67,0.12987012987012986,86.90000000000003,4,0.04,55,0.55,100,0.02349308429751545,6737
no_layernorm,sweeping,1,68,0.12820512820512822,87.30000000000005,4,0.04,51,0.51,100,0.022095044078305363,6837
no_layernorm,sweeping,1,69,0.12658227848101264,93.9,1,0.01,42,0.42,100,0.029912498015910387,6937
no_layernorm,sweeping,1,70,0.125,87.70000000000005,4,0.04,45,0.45,100,0.029338117144070565,7037
no_layernorm,sweeping,1,71,0.1234567901234568,89.70000000000005,3,0.03,46,0.46,100,0.023306217822246254,7137
no_layernorm,sweeping,1,72,0.12195121951219513,93.00000000000007,1,0.01,51,0.51,100,0.02707524493802339,7237
no_layernorm,sweeping,1,73,0.12048192771084336,93.30000000000003,1,0.01,48,0.48,100,0.021178763061761856,7337
no_layernorm,sweeping,1,74,0.11904761904761904,89.90000000000008,3,0.03,44,0.44,100,0.02863200595136732,7437
no_layernorm,sweeping,1,75,0.11764705882352941,96.50000000000003,0,0.0,35,0.35,100,0.020750106116756796,7537
no_layernorm,sweeping,1,76,0.11627906976744186,93.90000000000003,1,0.01,42,0.42,100,0.03269455800764263,7637
no_layernorm,sweeping,1,77,0.1149425287356322,90.30000000000003,3,0.03,39,0.39,100,0.029487292268313467,7737
no_layernorm,sweeping,1,78,0.11363636363636363,95.70000000000006,0,0.0,43,0.43,100,0.02257711977697909,7837
no_layernorm,sweeping,1,79,0.11235955056179775,91.40000000000006,2,0.02,48,0.48,100,0.02386389685794711,7937
no_layernorm,sweeping,1,80,0.1111111111111111,89.90000000000003,3,0.03,44,0.44,100,0.025834139911457898,8037
