condition,condition_role,distance_cm,power_dbm,jammer_mode,method,train_seed,return,collisions,collision_rate,switches,switch_rate
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_polynomial,1.0,97.18000000000004,0.25,0.0025,23.25,0.2325
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_polynomial,2.0,96.18500000000004,0.0,0.0,38.15,0.3815
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_polynomial,3.0,98.32000000000002,0.0,0.0,16.8,0.16799999999999998
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_polynomial,4.0,98.44000000000003,0.0,0.0,15.6,0.156
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_polynomial,5.0,79.86500000000001,9.5,0.095,11.35,0.1135
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_polynomial,6.0,97.84500000000003,0.0,0.0,21.55,0.21549999999999997
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_polynomial,7.0,96.25500000000004,0.1,0.001,35.5,0.355
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_polynomial,8.0,96.76500000000004,0.0,0.0,32.35,0.3235
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_polynomial,9.0,96.82000000000005,0.0,0.0,31.8,0.318
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_polynomial,10.0,97.54000000000002,0.35,0.0035000000000000005,17.6,0.176
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_polynomial,1.0,97.16000000000004,0.0,0.0,28.4,0.284
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_polynomial,2.0,96.48000000000005,0.0,0.0,35.2,0.352
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_polynomial,3.0,95.69000000000005,0.0,0.0,43.1,0.43100000000000005
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_polynomial,4.0,96.83000000000003,0.15,0.0015,28.7,0.28700000000000003
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_polynomial,5.0,90.93500000000003,3.4,0.034,22.65,0.2265
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_polynomial,6.0,97.08000000000004,0.0,0.0,29.2,0.292
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_polynomial,7.0,96.49000000000004,0.25,0.0025,30.35,0.3035
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_polynomial,8.0,95.74000000000005,0.0,0.0,42.6,0.426
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_polynomial,9.0,96.59000000000005,0.0,0.0,34.1,0.341
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_polynomial,10.0,96.76000000000003,0.0,0.0,32.4,0.324
power_shift_20cm_5dBm,cross_configuration,20,5,random,no_polynomial,1.0,97.97500000000004,0.1,0.001,18.25,0.1825
