model,jammer_mode,train_seed,episode,epsilon,return,collisions,collision_rate,switches,switch_rate,steps,mean_td_mse,updates
no_polynomial,sweeping,1,0,1.0,78.30000000000001,7,0.07,82,0.82,100,0.11895195143045606,37
no_polynomial,sweeping,1,1,0.9090909090909091,68.69999999999996,12,0.12,82,0.82,100,0.025136806862428786,137
no_polynomial,sweeping,1,2,0.8333333333333334,70.09999999999998,11,0.11,86,0.86,100,0.0287584647256881,237
no_polynomial,sweeping,1,3,0.7692307692307692,72.19999999999999,10,0.1,88,0.88,100,0.015101419105194509,337
no_polynomial,sweeping,1,4,0.7142857142857143,70.59999999999997,11,0.11,85,0.85,100,0.008151793787255883,437
no_polynomial,sweeping,1,5,0.6666666666666666,82.40000000000002,5,0.05,79,0.79,100,0.005992733761668205,537
no_polynomial,sweeping,1,6,0.625,76.70000000000002,8,0.08,80,0.8,100,0.0032711818919051437,637
no_polynomial,sweeping,1,7,0.5882352941176471,75.4,9,0.09,74,0.74,100,0.0031115396099630744,737
no_polynomial,sweeping,1,8,0.5555555555555556,74.9,9,0.09,79,0.79,100,0.005051091153873131,837
no_polynomial,sweeping,1,9,0.5263157894736842,81.10000000000004,6,0.06,75,0.75,100,0.004001645583193749,937
no_polynomial,sweeping,1,10,0.5,77.70000000000002,8,0.08,70,0.7,100,0.003972062700195238,1037
no_polynomial,sweeping,1,11,0.47619047619047616,69.59999999999998,12,0.12,74,0.74,100,0.003245744799496606,1137
no_polynomial,sweeping,1,12,0.45454545454545453,81.00000000000003,6,0.06,75,0.75,100,0.005468642385676503,1237
no_polynomial,sweeping,1,13,0.4347826086956522,73.6,10,0.1,74,0.74,100,0.0036339674599003046,1337
no_polynomial,sweeping,1,14,0.4166666666666667,89.30000000000008,2,0.02,69,0.69,100,0.0059849815350025894,1437
no_polynomial,sweeping,1,15,0.4,83.50000000000004,5,0.05,69,0.69,100,0.004666432982776314,1537
no_polynomial,sweeping,1,16,0.3846153846153846,86.80000000000005,3,0.03,75,0.75,100,0.004689891131129116,1637
no_polynomial,sweeping,1,17,0.37037037037037035,83.30000000000005,5,0.05,72,0.72,100,0.008728328035213053,1737
no_polynomial,sweeping,1,18,0.35714285714285715,87.10000000000004,3,0.03,72,0.72,100,0.006253740647807717,1837
no_polynomial,sweeping,1,19,0.3448275862068966,91.40000000000008,1,0.01,67,0.67,100,0.0061679876944981515,1937
no_polynomial,sweeping,1,20,0.3333333333333333,93.50000000000006,0,0.0,65,0.65,100,0.008657491239719093,2037
no_polynomial,sweeping,1,21,0.3225806451612903,80.00000000000001,7,0.07,66,0.66,100,0.006303928587585688,2137
no_polynomial,sweeping,1,22,0.3125,84.90000000000002,5,0.05,55,0.55,100,0.006195818590931594,2237
no_polynomial,sweeping,1,23,0.30303030303030304,74.19999999999999,10,0.1,68,0.68,100,0.005455614430829882,2337
no_polynomial,sweeping,1,24,0.29411764705882354,87.70000000000006,3,0.03,66,0.66,100,0.006164166750386358,2437
no_polynomial,sweeping,1,25,0.2857142857142857,89.8000000000001,2,0.02,64,0.64,100,0.006081706914119423,2537
no_polynomial,sweeping,1,26,0.2777777777777778,79.90000000000003,7,0.07,67,0.67,100,0.007247049564030022,2637
no_polynomial,sweeping,1,27,0.27027027027027023,86.10000000000008,4,0.04,63,0.63,100,0.006375145751517266,2737
no_polynomial,sweeping,1,28,0.2631578947368421,89.60000000000005,2,0.02,66,0.66,100,0.007262612951453775,2837
no_polynomial,sweeping,1,29,0.25641025641025644,93.90000000000006,0,0.0,61,0.61,100,0.0055957444640807805,2937
no_polynomial,sweeping,1,30,0.25,79.00000000000003,8,0.08,58,0.58,100,0.005338837422896176,3037
no_polynomial,sweeping,1,31,0.24390243902439027,92.80000000000005,1,0.01,53,0.53,100,0.004181892802007496,3137
no_polynomial,sweeping,1,32,0.23809523809523808,88.70000000000003,3,0.03,56,0.56,100,0.005842397739179432,3237
no_polynomial,sweeping,1,33,0.23255813953488372,84.80000000000004,5,0.05,55,0.55,100,0.0056443971046246585,3337
no_polynomial,sweeping,1,34,0.22727272727272727,92.30000000000007,1,0.01,58,0.58,100,0.005195200243033469,3437
no_polynomial,sweeping,1,35,0.2222222222222222,84.80000000000001,5,0.05,57,0.57,100,0.007679925777483732,3537
no_polynomial,sweeping,1,36,0.2173913043478261,84.70000000000003,5,0.05,57,0.57,100,0.005429263230180368,3637
no_polynomial,sweeping,1,37,0.2127659574468085,86.00000000000004,4,0.04,63,0.63,100,0.005536120578180998,3737
no_polynomial,sweeping,1,38,0.20833333333333334,87.00000000000006,3,0.03,73,0.73,100,0.005792984280269593,3837
no_polynomial,sweeping,1,39,0.2040816326530612,88.50000000000006,3,0.03,57,0.57,100,0.005943132853135466,3937
no_polynomial,sweeping,1,40,0.2,90.70000000000006,2,0.02,55,0.55,100,0.006215167276095599,4037
no_polynomial,sweeping,1,41,0.19607843137254904,90.90000000000009,2,0.02,53,0.53,100,0.006568576819263399,4137
no_polynomial,sweeping,1,42,0.1923076923076923,89.50000000000006,2,0.02,67,0.67,100,0.007938115473371,4237
no_polynomial,sweeping,1,43,0.18867924528301888,90.70000000000005,2,0.02,55,0.55,100,0.00632223687833175,4337
no_polynomial,sweeping,1,44,0.18518518518518517,92.90000000000006,1,0.01,51,0.51,100,0.00735339971492067,4437
