condition,condition_role,jammer_mode,eval_index,eval_seed,scan_id,replicate,scan_replicate,forced_reset_options,start_index,window_start,trajectory_seed
within_condition_pilot,transparent_pilot,sweeping,0,1001,8,0,0,"{""scan_id"": 8}",141,141,417139048
within_condition_pilot,transparent_pilot,sweeping,1,1002,9,0,0,"{""scan_id"": 9}",102,102,616035509
within_condition_pilot,transparent_pilot,sweeping,2,1003,8,1,1,"{""scan_id"": 8}",171,171,53462609
within_condition_pilot,transparent_pilot,sweeping,3,1004,9,1,1,"{""scan_id"": 9}",252,252,54101657
within_condition_pilot,transparent_pilot,sweeping,4,1005,8,2,2,"{""scan_id"": 8}",246,246,1164639609
within_condition_pilot,transparent_pilot,sweeping,5,1006,9,2,2,"{""scan_id"": 9}",381,381,1755513553
within_condition_pilot,transparent_pilot,sweeping,6,1007,8,3,3,"{""scan_id"": 8}",414,414,1968337963
within_condition_pilot,transparent_pilot,sweeping,7,1008,9,3,3,"{""scan_id"": 9}",540,540,1011379023
within_condition_pilot,transparent_pilot,sweeping,8,1009,8,4,4,"{""scan_id"": 8}",307,307,113591513
within_condition_pilot,transparent_pilot,sweeping,9,1010,9,4,4,"{""scan_id"": 9}",259,259,1879995497
within_condition_pilot,transparent_pilot,sweeping,10,1011,8,5,5,"{""scan_id"": 8}",375,375,35167692
within_condition_pilot,transparent_pilot,sweeping,11,1012,9,5,5,"{""scan_id"": 9}",26,26,1950703055
within_condition_pilot,transparent_pilot,sweeping,12,1013,8,6,6,"{""scan_id"": 8}",346,346,353600298
within_condition_pilot,transparent_pilot,sweeping,13,1014,9,6,6,"{""scan_id"": 9}",208,208,430395198
within_condition_pilot,transparent_pilot,sweeping,14,1015,8,7,7,"{""scan_id"": 8}",417,417,799679715
within_condition_pilot,transparent_pilot,sweeping,15,1016,9,7,7,"{""scan_id"": 9}",279,279,1468889584
within_condition_pilot,transparent_pilot,sweeping,16,1017,8,8,8,"{""scan_id"": 8}",482,482,498078359
within_condition_pilot,transparent_pilot,sweeping,17,1018,9,8,8,"{""scan_id"": 9}",300,300,1988742220
within_condition_pilot,transparent_pilot,sweeping,18,1019,8,9,9,"{""scan_id"": 8}",185,185,1321941717
within_condition_pilot,transparent_pilot,sweeping,19,1020,9,9,9,"{""scan_id"": 9}",160,160,199798587
within_condition_pilot,transparent_pilot,random,0,1001,8,0,0,"{""scan_id"": 8}",387,387,1615885130
within_condition_pilot,transparent_pilot,random,1,1002,9,0,0,"{""scan_id"": 9}",161,161,1262577085
within_condition_pilot,transparent_pilot,random,2,1003,8,1,1,"{""scan_id"": 8}",169,169,702521214
within_condition_pilot,transparent_pilot,random,3,1004,9,1,1,"{""scan_id"": 9}",360,360,902639335
within_condition_pilot,transparent_pilot,random,4,1005,8,2,2,"{""scan_id"": 8}",124,124,76154530
within_condition_pilot,transparent_pilot,random,5,1006,9,2,2,"{""scan_id"": 9}",40,40,1029141750
within_condition_pilot,transparent_pilot,random,6,1007,8,3,3,"{""scan_id"": 8}",326,326,1927705321
within_condition_pilot,transparent_pilot,random,7,1008,9,3,3,"{""scan_id"": 9}",91,91,210097751
within_condition_pilot,transparent_pilot,random,8,1009,8,4,4,"{""scan_id"": 8}",276,276,251868149
within_condition_pilot,transparent_pilot,random,9,1010,9,4,4,"{""scan_id"": 9}",182,182,743759113
within_condition_pilot,transparent_pilot,random,10,1011,8,5,5,"{""scan_id"": 8}",245,245,1661024923
within_condition_pilot,transparent_pilot,random,11,1012,9,5,5,"{""scan_id"": 9}",5,5,1996882474
within_condition_pilot,transparent_pilot,random,12,1013,8,6,6,"{""scan_id"": 8}",67,67,903565045
within_condition_pilot,transparent_pilot,random,13,1014,9,6,6,"{""scan_id"": 9}",443,443,1027754834
within_condition_pilot,transparent_pilot,random,14,1015,8,7,7,"{""scan_id"": 8}",102,102,861703511
within_condition_pilot,transparent_pilot,random,15,1016,9,7,7,"{""scan_id"": 9}",33,33,1375372769
within_condition_pilot,transparent_pilot,random,16,1017,8,8,8,"{""scan_id"": 8}",441,441,224453087
within_condition_pilot,transparent_pilot,random,17,1018,9,8,8,"{""scan_id"": 9}",555,555,366451906
within_condition_pilot,transparent_pilot,random,18,1019,8,9,9,"{""scan_id"": 8}",459,459,797378554
within_condition_pilot,transparent_pilot,random,19,1020,9,9,9,"{""scan_id"": 9}",170,170,2025839567
distance_shift_40cm_10dBm,cross_configuration,sweeping,0,1001,0,0,0,"{""scan_id"": 0}",157,157,987990634
distance_shift_40cm_10dBm,cross_configuration,sweeping,1,1002,1,0,0,"{""scan_id"": 1}",489,489,1907311827
distance_shift_40cm_10dBm,cross_configuration,sweeping,2,1003,2,0,0,"{""scan_id"": 2}",57,57,839648724
distance_shift_40cm_10dBm,cross_configuration,sweeping,3,1004,3,0,0,"{""scan_id"": 3}",295,295,512424514
distance_shift_40cm_10dBm,cross_configuration,sweeping,4,1005,4,0,0,"{""scan_id"": 4}",319,319,2140780444
distance_shift_40cm_10dBm,cross_configuration,sweeping,5,1006,5,0,0,"{""scan_id"": 5}",350,350,449162016
distance_shift_40cm_10dBm,cross_configuration,sweeping,6,1007,6,0,0,"{""scan_id"": 6}",479,479,444466813
distance_shift_40cm_10dBm,cross_configuration,sweeping,7,1008,7,0,0,"{""scan_id"": 7}",207,207,1902567433
distance_shift_40cm_10dBm,cross_configuration,sweeping,8,1009,8,0,0,"{""scan_id"": 8}",475,475,1050505874
distance_shift_40cm_10dBm,cross_configuration,sweeping,9,1010,9,0,0,"{""scan_id"": 9}",54,54,1834562238
distance_shift_40cm_10dBm,cross_configuration,sweeping,10,1011,0,1,1,"{""scan_id"": 0}",10,10,1239671522
distance_shift_40cm_10dBm,cross_configuration,sweeping,11,1012,1,1,1,"{""scan_id"": 1}",344,344,1518304929
distance_shift_40cm_10dBm,cross_configuration,sweeping,12,1013,2,1,1,"{""scan_id"": 2}",117,117,1293090980
distance_shift_40cm_10dBm,cross_configuration,sweeping,13,1014,3,1,1,"{""scan_id"": 3}",27,27,85183077
distance_shift_40cm_10dBm,cross_configuration,sweeping,14,1015,4,1,1,"{""scan_id"": 4}",239,239,580496121
distance_shift_40cm_10dBm,cross_configuration,sweeping,15,1016,5,1,1,"{""scan_id"": 5}",192,192,141028541
distance_shift_40cm_10dBm,cross_configuration,sweeping,16,1017,6,1,1,"{""scan_id"": 6}",21,21,620764656
distance_shift_40cm_10dBm,cross_configuration,sweeping,17,1018,7,1,1,"{""scan_id"": 7}",203,203,1949039841
distance_shift_40cm_10dBm,cross_configuration,sweeping,18,1019,8,1,1,"{""scan_id"": 8}",404,404,1884768710
distance_shift_40cm_10dBm,cross_configuration,sweeping,19,1020,9,1,1,"{""scan_id"": 9}",328,328,1268569895
distance_shift_40cm_10dBm,cross_configuration,random,0,1001,0,0,0,"{""scan_id"": 0}",171,171,1863761630
distance_shift_40cm_10dBm,cross_configuration,random,1,1002,1,0,0,"{""scan_id"": 1}",83,83,1440760242
distance_shift_40cm_10dBm,cross_configuration,random,2,1003,2,0,0,"{""scan_id"": 2}",252,252,2028719777
distance_shift_40cm_10dBm,cross_configuration,random,3,1004,3,0,0,"{""scan_id"": 3}",249,249,2116395979
distance_shift_40cm_10dBm,cross_configuration,random,4,1005,4,0,0,"{""scan_id"": 4}",50,50,781444719
distance_shift_40cm_10dBm,cross_configuration,random,5,1006,5,0,0,"{""scan_id"": 5}",199,199,84674289
distance_shift_40cm_10dBm,cross_configuration,random,6,1007,6,0,0,"{""scan_id"": 6}",549,549,1702462152
distance_shift_40cm_10dBm,cross_configuration,random,7,1008,7,0,0,"{""scan_id"": 7}",254,254,1205030660
distance_shift_40cm_10dBm,cross_configuration,random,8,1009,8,0,0,"{""scan_id"": 8}",35,35,1804282169
distance_shift_40cm_10dBm,cross_configuration,random,9,1010,9,0,0,"{""scan_id"": 9}",399,399,887491908
distance_shift_40cm_10dBm,cross_configuration,random,10,1011,0,1,1,"{""scan_id"": 0}",504,504,1235327170
distance_shift_40cm_10dBm,cross_configuration,random,11,1012,1,1,1,"{""scan_id"": 1}",341,341,526841051
distance_shift_40cm_10dBm,cross_configuration,random,12,1013,2,1,1,"{""scan_id"": 2}",386,386,1311653248
distance_shift_40cm_10dBm,cross_configuration,random,13,1014,3,1,1,"{""scan_id"": 3}",268,268,1075653416
distance_shift_40cm_10dBm,cross_configuration,random,14,1015,4,1,1,"{""scan_id"": 4}",414,414,764312524
distance_shift_40cm_10dBm,cross_configuration,random,15,1016,5,1,1,"{""scan_id"": 5}",134,134,1627272199
distance_shift_40cm_10dBm,cross_configuration,random,16,1017,6,1,1,"{""scan_id"": 6}",25,25,59007623
distance_shift_40cm_10dBm,cross_configuration,random,17,1018,7,1,1,"{""scan_id"": 7}",9,9,1293574592
distance_shift_40cm_10dBm,cross_configuration,random,18,1019,8,1,1,"{""scan_id"": 8}",121,121,1464755120
distance_shift_40cm_10dBm,cross_configuration,random,19,1020,9,1,1,"{""scan_id"": 9}",4,4,924013486
power_shift_20cm_5dBm,cross_configuration,sweeping,0,1001,0,0,0,"{""scan_id"": 0}",37,37,1472840482
power_shift_20cm_5dBm,cross_configuration,sweeping,1,1002,1,0,0,"{""scan_id"": 1}",291,291,696742286
power_shift_20cm_5dBm,cross_configuration,sweeping,2,1003,2,0,0,"{""scan_id"": 2}",171,171,1102347240
power_shift_20cm_5dBm,cross_configuration,sweeping,3,1004,3,0,0,"{""scan_id"": 3}",432,432,1102760004
power_shift_20cm_5dBm,cross_configuration,sweeping,4,1005,4,0,0,"{""scan_id"": 4}",130,130,1680621641
