model,train_seed,trainable_parameters,parameter_bytes,registered_buffer_bytes,inference_persistent_tensor_bytes,inference_tensor_bytes_scope,serialized_state_bytes,checkpoint_bytes,training_seconds,batch1_cpu_latency_ms_median,batch1_gpu_latency_ms_median,latency_repeats,device_used_for_training,jammer_mode
hnp,1,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,68.74552090000361,0.10175000000000001,0.48385,200,cpu,sweeping
hnp,2,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,71.80621830000018,0.1004,0.47719999999999996,200,cpu,sweeping
hnp,3,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,70.98978459999489,0.10805000000000001,0.5307999999999999,200,cpu,sweeping
hnp,4,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,69.44340139999986,0.1017,0.53525,200,cpu,sweeping
hnp,5,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,68.43674889999966,0.12359999999999999,0.5403,200,cpu,sweeping
hnp,6,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,69.51677760000166,0.11995,0.47985,200,cpu,sweeping
hnp,7,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,70.52370199999132,0.10075,0.4937,200,cpu,sweeping
hnp,8,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,73.04779949999647,0.1107,0.52515,200,cpu,sweeping
hnp,9,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,69.55739459999313,0.1171,0.48155000000000003,200,cpu,sweeping
hnp,10,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,70.76003530000162,0.0989,0.5106999999999999,200,cpu,sweeping
matched,1,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,52.21391510000103,0.0698,0.3727,200,cpu,sweeping
matched,2,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,51.32243849999213,0.0863,0.37865,200,cpu,sweeping
matched,3,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,52.9860183000128,0.07175000000000001,0.39415,200,cpu,sweeping
matched,4,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,51.50346600000921,0.07685,0.3905,200,cpu,sweeping
matched,5,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,53.06718610000098,0.0858,0.37670000000000003,200,cpu,sweeping
matched,6,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,51.9294019999943,0.0848,0.37615,200,cpu,sweeping
matched,7,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,56.839363000006415,0.09015000000000001,0.54775,200,cpu,sweeping
matched,8,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,59.80182760000753,0.073,0.5628500000000001,200,cpu,sweeping
matched,9,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,59.048926499992376,0.08935,0.53085,200,cpu,sweeping
matched,10,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,57.13094380000257,0.08615,0.522,200,cpu,sweeping
hnp,1,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,75.8943658000062,0.1183,0.7375499999999999,200,cpu,random
hnp,2,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,76.8329900999961,0.12229999999999999,0.8173,200,cpu,random
hnp,3,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,81.34248110000044,0.11735000000000001,0.7483,200,cpu,random
hnp,4,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,80.03935510000156,0.1099,0.69035,200,cpu,random
hnp,5,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,82.5685908000014,0.11875,0.6650499999999999,200,cpu,random
hnp,6,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,89.4004469000065,0.1155,0.6557,200,cpu,random
hnp,7,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,85.87304710000171,0.10395,0.6984999999999999,200,cpu,random
hnp,8,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,89.03526710000006,0.11685000000000001,0.76515,200,cpu,random
hnp,9,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,86.73396270000376,0.1162,0.75475,200,cpu,random
hnp,10,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",140193,558223,81.29187180000008,0.0978,0.7353000000000001,200,cpu,random
matched,1,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,61.41590319998795,0.0692,0.6030500000000001,200,cpu,random
matched,2,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,64.21118080000451,0.07014999999999999,0.591,200,cpu,random
matched,3,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,64.37274419999449,0.0892,0.5801499999999999,200,cpu,random
matched,4,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,63.21191500000714,0.08224999999999999,0.5097,200,cpu,random
matched,5,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,63.01023260000511,0.0835,0.65225,200,cpu,random
matched,6,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,63.228736999997636,0.0686,0.5573,200,cpu,random
matched,7,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,60.55151509999996,0.0669,0.6255,200,cpu,random
matched,8,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,61.12046420000843,0.0991,0.6571,200,cpu,random
matched,9,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,62.705785500002094,0.09045,0.5114000000000001,200,cpu,random
matched,10,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",139309,551115,63.69989010000427,0.0691,0.57055,200,cpu,random
