condition,jammer_mode,method_a,method_b,metric,n_pairs,mean_a,sd_a,mean_b,sd_b,mean_difference,ci95_low,ci95_high,effect_dz,p_exact,p_holm
distance_shift_40cm_10dBm,random,hnp,matched,return,10,95.91050000000004,1.305121216166854,97.03150000000004,0.8972459405189653,-1.120999999999988,-2.452727607343939,0.2107276073439628,-0.6021614984856333,0.095703125,0.57421875
distance_shift_40cm_10dBm,random,hnp,threshold,return,10,95.91050000000004,1.305121216166854,97.08500000000004,0.0,-1.174499999999989,-2.108127475136849,-0.24087252486312882,-0.8999164104078394,0.0234375,0.2109375
distance_shift_40cm_10dBm,sweeping,hnp,matched,return,10,95.08750000000005,1.43970917202051,95.75200000000004,0.863317889179743,-0.6644999999999939,-1.7482079342230221,0.4192079342230344,-0.4386372462706534,0.197265625,0.7890625
distance_shift_40cm_10dBm,sweeping,hnp,schedule_sweep,return,10,95.08750000000005,1.43970917202051,98.60000000000002,0.0,-3.5124999999999758,-4.542405898819602,-2.482594101180349,-2.4397288482023627,0.001953125,0.0234375
power_shift_20cm_5dBm,random,hnp,matched,return,10,97.28850000000003,1.0150233987450674,97.72850000000003,0.6392228354285578,-0.4399999999999977,-1.259844303690285,0.37984430369028976,-0.3839229439273798,0.2421875,0.7890625
power_shift_20cm_5dBm,random,hnp,threshold,return,10,97.28850000000003,1.0150233987450674,96.70000000000003,0.0,0.5885000000000005,-0.13760399803204004,1.314603998032041,0.5797895898041339,0.09765625,0.57421875
power_shift_20cm_5dBm,sweeping,hnp,matched,return,10,96.63000000000004,0.8674195447801797,96.24250000000004,0.7112283974458035,0.3874999999999929,-0.5634632814275629,1.3384632814275486,0.29149474694159766,0.380859375,0.7890625
power_shift_20cm_5dBm,sweeping,hnp,schedule_sweep,return,10,96.63000000000004,0.8674195447801797,98.60000000000002,0.0,-1.9699999999999889,-2.5905145617477525,-1.3494854382522252,-2.2711040025034523,0.001953125,0.0234375
within_condition_pilot,random,hnp,matched,return,10,97.40200000000003,0.7558593343561518,97.88450000000003,0.46458135276109935,-0.4824999999999946,-1.0700279153201284,0.10502791532013922,-0.5874779702191659,0.0625,0.5
within_condition_pilot,random,hnp,threshold,return,10,97.40200000000003,0.7558593343561518,96.90000000000005,1.4979556132593925e-14,0.5019999999999968,-0.03870919478742618,1.0427091947874199,0.6641447385545687,0.068359375,0.5
within_condition_pilot,sweeping,hnp,matched,return,10,96.69000000000003,0.8263910830969894,96.78100000000005,0.7112500732278718,-0.0910000000000025,-0.6423247212436454,0.4603247212436403,-0.1180746589742938,0.73046875,0.7890625
within_condition_pilot,sweeping,hnp,schedule_sweep,return,10,96.69000000000003,0.8263910830969894,98.60000000000002,0.0,-1.9099999999999853,-2.5011645683406005,-1.3188354316593698,-2.3112543674141,0.001953125,0.0234375
