condition,condition_role,distance_cm,power_dbm,jammer_mode,method,train_seed,return,collisions,collision_rate,switches,switch_rate
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,1.0,96.97000000000004,0.0,0.0,30.3,0.303
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,2.0,96.93000000000004,0.0,0.0,30.7,0.307
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,3.0,94.39000000000007,0.15,0.0015,53.15,0.5315000000000001
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,4.0,98.08000000000001,0.0,0.0,19.2,0.192
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,5.0,97.28500000000004,0.05,0.0005,26.2,0.262
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,6.0,94.49000000000007,0.15,0.0015,52.25,0.5225
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,7.0,95.34500000000006,0.15,0.0015,43.6,0.43600000000000005
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,8.0,95.29000000000005,0.15,0.0015,44.1,0.441
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,9.0,94.70500000000006,0.0,0.0,52.95,0.5295
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,10.0,95.62000000000005,0.1,0.001,41.85,0.4185
distance_shift_40cm_10dBm,cross_configuration,40,10,random,matched,1.0,95.09500000000006,0.1,0.001,47.1,0.471
distance_shift_40cm_10dBm,cross_configuration,40,10,random,matched,2.0,97.28500000000003,0.1,0.001,25.15,0.2515
distance_shift_40cm_10dBm,cross_configuration,40,10,random,matched,3.0,97.27500000000002,0.1,0.001,25.25,0.2525
distance_shift_40cm_10dBm,cross_configuration,40,10,random,matched,4.0,96.09500000000004,0.0,0.0,39.05,0.39049999999999996
distance_shift_40cm_10dBm,cross_configuration,40,10,random,matched,5.0,98.11000000000003,0.0,0.0,18.9,0.189
distance_shift_40cm_10dBm,cross_configuration,40,10,random,matched,6.0,97.57500000000003,0.05,0.0005,23.25,0.2325
distance_shift_40cm_10dBm,cross_configuration,40,10,random,matched,7.0,97.63500000000003,0.0,0.0,23.65,0.23650000000000002
distance_shift_40cm_10dBm,cross_configuration,40,10,random,matched,8.0,97.47500000000002,0.1,0.001,23.25,0.2325
distance_shift_40cm_10dBm,cross_configuration,40,10,random,matched,9.0,97.35000000000005,0.05,0.0005,25.5,0.255
distance_shift_40cm_10dBm,cross_configuration,40,10,random,matched,10.0,96.42000000000004,0.05,0.0005,34.8,0.348
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,hnp,1.0,94.33000000000006,0.45,0.0045,47.75,0.4774999999999999
