model,jammer_mode,train_seed,episode,epsilon,return,collisions,collision_rate,switches,switch_rate,steps,mean_td_mse,updates
hnp,sweeping,1,0,1.0,78.30000000000001,7,0.07,82,0.82,100,0.10656927802876846,37
hnp,sweeping,1,1,0.9090909090909091,66.79999999999994,13,0.13,82,0.82,100,0.03751185825094581,137
hnp,sweeping,1,2,0.8333333333333334,70.09999999999998,11,0.11,86,0.86,100,0.029509365893900394,237
hnp,sweeping,1,3,0.7692307692307692,72.19999999999999,10,0.1,88,0.88,100,0.016758515322580932,337
hnp,sweeping,1,4,0.7142857142857143,70.19999999999996,11,0.11,89,0.89,100,0.01271874455269426,437
hnp,sweeping,1,5,0.6666666666666666,82.30000000000001,5,0.05,80,0.8,100,0.00769894381519407,537
hnp,sweeping,1,6,0.625,77.00000000000004,8,0.08,77,0.77,100,0.004550499990582466,637
hnp,sweeping,1,7,0.5882352941176471,74.79999999999998,9,0.09,80,0.8,100,0.004906077838968486,737
hnp,sweeping,1,8,0.5555555555555556,74.6,9,0.09,79,0.79,100,0.0050636771437712015,837
hnp,sweeping,1,9,0.5263157894736842,81.30000000000001,6,0.06,73,0.73,100,0.005853019841015339,937
hnp,sweeping,1,10,0.5,77.20000000000002,8,0.08,75,0.75,100,0.0035042753955349328,1037
hnp,sweeping,1,11,0.47619047619047616,69.8,12,0.12,73,0.73,100,0.0038714312214870004,1137
hnp,sweeping,1,12,0.45454545454545453,80.70000000000003,6,0.06,78,0.78,100,0.006695680262055248,1237
hnp,sweeping,1,13,0.4347826086956522,73.6,10,0.1,73,0.73,100,0.0049999972409568725,1337
hnp,sweeping,1,14,0.4166666666666667,89.00000000000009,2,0.02,71,0.71,100,0.0066869942098855975,1437
hnp,sweeping,1,15,0.4,83.00000000000004,5,0.05,75,0.75,100,0.006056763927917927,1537
hnp,sweeping,1,16,0.3846153846153846,87.00000000000004,3,0.03,73,0.73,100,0.006591626128647476,1637
hnp,sweeping,1,17,0.37037037037037035,84.40000000000003,5,0.05,61,0.61,100,0.0075854295981116595,1737
hnp,sweeping,1,18,0.35714285714285715,86.80000000000004,3,0.03,75,0.75,100,0.006033334662206471,1837
hnp,sweeping,1,19,0.3448275862068966,91.80000000000007,1,0.01,63,0.63,100,0.00532217993400991,1937
hnp,sweeping,1,20,0.3333333333333333,93.30000000000007,0,0.0,67,0.67,100,0.013181163223925978,2037
hnp,sweeping,1,21,0.3225806451612903,79.70000000000002,7,0.07,67,0.67,100,0.009197129171807318,2137
hnp,sweeping,1,22,0.3125,83.60000000000004,5,0.05,68,0.68,100,0.006772146683651954,2237
hnp,sweeping,1,23,0.30303030303030304,73.9,10,0.1,69,0.69,100,0.006486757837701589,2337
hnp,sweeping,1,24,0.29411764705882354,88.20000000000003,3,0.03,61,0.61,100,0.005986022294964641,2437
hnp,sweeping,1,25,0.2857142857142857,90.2000000000001,2,0.02,60,0.6,100,0.007017411147244274,2537
hnp,sweeping,1,26,0.2777777777777778,79.80000000000004,7,0.07,67,0.67,100,0.006422731117345393,2637
hnp,sweeping,1,27,0.27027027027027023,84.80000000000005,4,0.04,76,0.76,100,0.00809028825024143,2737
hnp,sweeping,1,28,0.2631578947368421,89.70000000000005,2,0.02,65,0.65,100,0.008587550004012883,2837
hnp,sweeping,1,29,0.25641025641025644,93.10000000000008,0,0.0,69,0.69,100,0.007937186858616769,2937
hnp,sweeping,1,30,0.25,77.80000000000001,8,0.08,70,0.7,100,0.006377401052741333,3037
hnp,sweeping,1,31,0.24390243902439027,91.40000000000009,1,0.01,67,0.67,100,0.005484762724954635,3137
hnp,sweeping,1,32,0.23809523809523808,88.00000000000006,3,0.03,63,0.63,100,0.00811769583960995,3237
hnp,sweeping,1,33,0.23255813953488372,83.80000000000003,5,0.05,66,0.66,100,0.006594891317654401,3337
hnp,sweeping,1,34,0.22727272727272727,91.90000000000005,1,0.01,61,0.61,100,0.007795343180187046,3437
hnp,sweeping,1,35,0.2222222222222222,83.9,5,0.05,66,0.66,100,0.007901381456758828,3537
hnp,sweeping,1,36,0.2173913043478261,84.00000000000003,5,0.05,64,0.64,100,0.0068215465359389785,3637
hnp,sweeping,1,37,0.2127659574468085,86.00000000000004,4,0.04,63,0.63,100,0.0074248155462555586,3737
hnp,sweeping,1,38,0.20833333333333334,88.10000000000004,3,0.03,62,0.62,100,0.007857962786220014,3837
hnp,sweeping,1,39,0.2040816326530612,88.20000000000005,3,0.03,60,0.6,100,0.008502986175008118,3937
hnp,sweeping,1,40,0.2,90.40000000000006,2,0.02,58,0.58,100,0.006362384986132384,4037
hnp,sweeping,1,41,0.19607843137254904,90.70000000000007,2,0.02,55,0.55,100,0.0073446926660835745,4137
hnp,sweeping,1,42,0.1923076923076923,90.30000000000007,2,0.02,59,0.59,100,0.006378909777849912,4237
hnp,sweeping,1,43,0.18867924528301888,90.40000000000006,2,0.02,58,0.58,100,0.010298244417645036,4337
hnp,sweeping,1,44,0.18518518518518517,93.10000000000007,1,0.01,50,0.5,100,0.008588300857227296,4437
hnp,sweeping,1,45,0.18181818181818182,92.10000000000007,1,0.01,60,0.6,100,0.008293753792531788,4537
hnp,sweeping,1,46,0.17857142857142858,86.50000000000006,4,0.04,59,0.59,100,0.006894666189327836,4637
hnp,sweeping,1,47,0.17543859649122806,85.30000000000001,4,0.04,70,0.7,100,0.007897671449463815,4737
hnp,sweeping,1,48,0.1724137931034483,92.50000000000006,1,0.01,56,0.56,100,0.007986466626171022,4837
hnp,sweeping,1,49,0.1694915254237288,84.0,5,0.05,65,0.65,100,0.009058118513785303,4937
hnp,sweeping,1,50,0.16666666666666666,92.60000000000008,1,0.01,55,0.55,100,0.007283234274946153,5037
hnp,sweeping,1,51,0.1639344262295082,85.40000000000003,4,0.04,69,0.69,100,0.008514585876837373,5137
hnp,sweeping,1,52,0.16129032258064516,82.10000000000007,6,0.06,65,0.65,100,0.009516604426316917,5237
hnp,sweeping,1,53,0.15873015873015872,90.90000000000003,2,0.02,52,0.52,100,0.00979969761800021,5337
hnp,sweeping,1,54,0.15625,86.60000000000002,4,0.04,57,0.57,100,0.01031935036648065,5437
hnp,sweeping,1,55,0.15384615384615385,93.00000000000006,1,0.01,51,0.51,100,0.0075094658858142795,5537
hnp,sweeping,1,56,0.15151515151515152,84.80000000000004,5,0.05,56,0.56,100,0.009397734000813215,5637
hnp,sweeping,1,57,0.14925373134328357,91.10000000000005,2,0.02,50,0.5,100,0.008098342448938638,5737
hnp,sweeping,1,58,0.14705882352941177,91.60000000000005,1,0.01,65,0.65,100,0.007681499740574509,5837
hnp,sweeping,1,59,0.14492753623188406,94.60000000000007,0,0.0,54,0.54,100,0.008320518573746084,5937
hnp,sweeping,1,60,0.14285714285714285,90.70000000000005,2,0.02,55,0.55,100,0.009319903710857034,6037
hnp,sweeping,1,61,0.14084507042253522,90.10000000000002,2,0.02,61,0.61,100,0.008941471553407609,6137
hnp,sweeping,1,62,0.1388888888888889,92.2000000000001,1,0.01,59,0.59,100,0.007833050300832837,6237
hnp,sweeping,1,63,0.136986301369863,81.9,6,0.06,66,0.66,100,0.009099686944391578,6337
hnp,sweeping,1,64,0.13513513513513511,94.80000000000005,0,0.0,52,0.52,100,0.01131177058443427,6437
hnp,sweeping,1,65,0.13333333333333333,93.50000000000006,1,0.01,46,0.46,100,0.009456388370599597,6537
hnp,sweeping,1,66,0.13157894736842105,94.90000000000006,0,0.0,51,0.51,100,0.008700526151806116,6637
hnp,sweeping,1,67,0.12987012987012986,86.80000000000004,4,0.04,55,0.55,100,0.00967963834060356,6737
hnp,sweeping,1,68,0.12820512820512822,86.50000000000004,4,0.04,59,0.59,100,0.008630294383037836,6837
hnp,sweeping,1,69,0.12658227848101264,90.70000000000007,2,0.02,55,0.55,100,0.009357160739600658,6937
hnp,sweeping,1,70,0.125,86.60000000000002,4,0.04,57,0.57,100,0.009943897337652743,7037
hnp,sweeping,1,71,0.1234567901234568,88.50000000000006,3,0.03,58,0.58,100,0.00802661421475932,7137
hnp,sweeping,1,72,0.12195121951219513,90.90000000000003,1,0.01,72,0.72,100,0.009758519534952938,7237
hnp,sweeping,1,73,0.12048192771084336,92.60000000000002,1,0.01,55,0.55,100,0.010678087261039764,7337
hnp,sweeping,1,74,0.11904761904761904,88.20000000000009,3,0.03,61,0.61,100,0.01089336960343644,7437
hnp,sweeping,1,75,0.11764705882352941,95.00000000000004,0,0.0,50,0.5,100,0.007254139536526054,7537
hnp,sweeping,1,76,0.11627906976744186,92.80000000000004,1,0.01,53,0.53,100,0.00724828815087676,7637
hnp,sweeping,1,77,0.1149425287356322,89.90000000000002,3,0.03,42,0.42,100,0.0067202276736497875,7737
hnp,sweeping,1,78,0.11363636363636363,95.40000000000005,0,0.0,46,0.46,100,0.00870827586390078,7837
hnp,sweeping,1,79,0.11235955056179775,91.30000000000005,2,0.02,49,0.49,100,0.008837908648420125,7937
hnp,sweeping,1,80,0.1111111111111111,88.90000000000003,3,0.03,54,0.54,100,0.014939063685014844,8037
hnp,sweeping,1,81,0.10989010989010989,91.30000000000007,2,0.02,49,0.49,100,0.007560731829144061,8137
hnp,sweeping,1,82,0.10869565217391305,95.3000000000001,0,0.0,47,0.47,100,0.009570658097509295,8237
hnp,sweeping,1,83,0.1075268817204301,92.70000000000005,1,0.01,54,0.54,100,0.007376817469485104,8337
hnp,sweeping,1,84,0.10638297872340426,95.10000000000008,0,0.0,49,0.49,100,0.010727376225404442,8437
hnp,sweeping,1,85,0.10526315789473684,96.00000000000006,0,0.0,40,0.4,100,0.010771896478254349,8537
hnp,sweeping,1,86,0.10416666666666667,92.50000000000006,1,0.01,56,0.56,100,0.008572315706405789,8637
hnp,sweeping,1,87,0.10309278350515465,91.60000000000004,2,0.02,46,0.46,100,0.008353287586942315,8737
hnp,sweeping,1,88,0.1020408163265306,94.20000000000005,1,0.01,39,0.39,100,0.007429115783888846,8837
hnp,sweeping,1,89,0.10101010101010101,85.10000000000002,5,0.05,54,0.54,100,0.009125473070889711,8937
hnp,sweeping,1,90,0.1,90.80000000000005,2,0.02,54,0.54,100,0.009571323295822366,9037
hnp,sweeping,1,91,0.09900990099009901,95.60000000000005,0,0.0,44,0.44,100,0.009490027327556163,9137
hnp,sweeping,1,92,0.09803921568627452,94.90000000000005,0,0.0,51,0.51,100,0.00980687877163291,9237
hnp,sweeping,1,93,0.0970873786407767,89.70000000000002,3,0.03,46,0.46,100,0.008263764834264293,9337
hnp,sweeping,1,94,0.09615384615384615,93.30000000000004,1,0.01,48,0.48,100,0.01205511923879385,9437
hnp,sweeping,1,95,0.09523809523809523,92.00000000000004,2,0.02,42,0.42,100,0.010117065533995629,9537
hnp,sweeping,1,96,0.09433962264150944,95.70000000000007,0,0.0,43,0.43,100,0.010139694951940328,9637
hnp,sweeping,1,97,0.09345794392523366,95.90000000000005,0,0.0,41,0.41,100,0.011120457507204265,9737
